"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Type"
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","48/724","109/8859",0.440366972477064,5.38841299609712,13.7522911245163,2.76615814787318e-24,8.19788687460596e-23,2.56763005113587e-23,"5728/5290/7124/207/3569/6774/2475/4790/5781/5295/3630/5970/4792/3643/2932/6513/1385/7376/5599/5580/5293/6198/5291/948/5602/4846/5465/10891/6720/5579/51085/6517/6514/5562/5590/5581/183/5563/5770/5837/5792/1374/5836/10062/5564/6197/1375/200186",48,"XKC"
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","39/724","73/8859",0.534246575342466,6.5371414516007,14.1713032371337,7.45251148798987e-24,2.02459895423725e-22,6.34117205557033e-23,"7157/5979/5290/207/1029/1956/2064/5925/4233/595/238/1026/6774/1019/5604/5594/5894/1950/581/5295/3082/11186/1021/5595/5915/5293/6256/5578/842/1869/5291/6777/3718/6776/6789/6257/5579/1870/6258",39,"XKC"
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","39/724","77/8859",0.506493506493506,6.19754968788118,13.6648742177531,9.96491083876497e-23,2.49889302572106e-21,7.82669110413119e-22,"7157/5290/207/1029/1956/2064/5925/595/1026/6774/7040/2475/7422/1019/5604/6772/4790/5594/5894/1950/581/5295/5970/1021/598/5595/4088/5599/5293/842/1869/5879/6198/5291/5602/1147/1870/5338/5337",39,"XKC"
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","63/724","196/8859",0.321428571428571,3.93306037884767,12.3872021268536,1.37124422074307e-22,3.19304011401601e-21,1.00008037151938e-21,"7157/5290/207/1499/5925/595/3569/355/4609/1026/6774/2475/3091/7422/1019/6714/5604/6772/841/4790/5594/5894/3576/581/836/5295/5743/5294/3725/3383/5970/1387/3717/2247/4792/1021/2932/5595/1432/1437/1385/5599/5293/842/1869/5879/4067/2353/5291/6850/5602/942/6416/51176/1147/2919/718/29110/1870/1233/2920/3710/801",63,"XKC"
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","55/724","157/8859",0.35031847133758,4.28656262096632,12.39482903314,7.41580381839078e-22,1.61170136319693e-20,5.04795066936074e-21,"5290/7124/207/3569/355/7040/5468/356/3553/841/4790/3576/581/836/5295/3630/3725/5970/3552/3643/2932/1432/9370/5599/5293/6256/5879/2353/5291/5602/10018/5465/1649/7494/6720/840/4217/51085/5562/468/1965/9377/5563/1571/10062/5564/1327/7384/1340/1329/1345/1346/1351/1350/1349",55,"XKC"
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","47/724","119/8859",0.394957983193277,4.83278007335531,12.5571189081553,2.31982884786207e-21,4.72665127751897e-20,1.48041709370145e-20,"5290/7124/207/3569/355/3553/5604/841/4790/5594/4318/836/5295/5743/3725/3383/5970/6347/4792/5595/1432/1437/1385/3627/5599/5293/3659/1906/330/331/7412/2353/5291/4314/6401/5602/329/6416/1147/2919/840/4217/1386/1051/468/2920/3726",47,"XKC"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","62/724","204/8859",0.303921568627451,3.7188414039649,11.7198961930775,8.10583359567212e-21,1.55441279540536e-19,4.86851924941298e-20,"7157/5290/7124/207/1499/1956/4193/2064/4233/595/2099/355/4609/1026/406991/6774/2260/7040/2475/356/3091/7422/6714/5604/5594/5894/5781/2065/3480/4318/3791/4313/836/5295/3082/2247/2335/5747/5595/7099/1432/857/7097/1277/5293/5578/7057/5879/5328/6198/5291/7291/1514/3685/3690/7448/5579/5777/2002/3710/815/816",62,"XKC"
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","27/724","41/8859",0.658536585365854,8.05797736154157,13.5128042210732,3.18714467787414e-20,5.7722731388165e-19,1.80791247809235e-19,"7157/1029/999/1956/4193/2064/5925/595/4609/1026/7422/1019/6714/5604/5594/5894/3576/4318/1950/4313/11186/5595/4312/1869/7057/1612/1870",27,"XKC"
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","36/724","75/8859",0.48,5.87337016574586,12.6436425936079,4.65868137643586e-20,7.99331646693731e-19,2.50355730478824e-19,"7157/5290/207/672/1029/4193/2064/355/1026/596/356/841/5594/581/836/5295/598/5595/5293/842/330/331/7153/2950/5291/2944/329/2952/4217/1244/540/2947/2938/2946/2939/653689",36,"XKC"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","85/724","362/8859",0.234806629834254,2.87313802997466,10.8554942071541,5.71237262551817e-20,9.31116737959462e-19,2.91631655092243e-19,"7157/5728/5979/5290/207/672/1956/4193/2064/4233/595/3569/4609/1026/2260/596/2475/356/7422/1019/5604/4790/5594/5894/2065/3558/3480/3791/1950/3565/5295/3630/5294/3082/5970/3717/2247/627/1021/2335/598/3643/2932/3320/5747/5595/7099/4915/6696/1385/1017/7097/1440/894/898/1277/5293/6256/5578/842/4170/7057/5879/6198/2322/5291/6850/4803/3562/3718/10018/4846/3685/1147/3690/7448/1977/5562/1386/2149/468/5563/7534/5585/200186",85,"XKC"
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","36/724","78/8859",0.461538461538462,5.64747131321717,12.2984498053206,2.43543616773433e-19,3.78072471753044e-18,1.18414690862271e-18,"7124/3569/3586/3553/4790/5594/3576/836/3725/5970/3552/5595/7099/1432/4843/5599/3659/2353/5602/114548/718/834/840/716/720/713/710/717/714/801/23643/727/721/715/725/100293534",36,"XKC"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","39/724","93/8859",0.419354838709677,5.13130458028872,11.9477547153284,5.08678082712421e-19,7.53768431655679e-18,2.36085043172751e-18,"7157/5728/5290/207/5925/595/4609/1026/596/1019/4790/581/836/5295/5743/4149/5970/4792/1021/2335/598/5747/5915/1017/4843/898/5293/6256/842/1869/330/331/5291/329/3685/1147/6257/1870/6258",39,"XKC"
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","63/724","226/8859",0.278761061946903,3.41097271793869,10.9527704960634,5.50777171947606e-19,7.80666774151824e-18,2.44509774274223e-18,"7157/5290/7124/207/1029/1499/1956/4193/5925/595/3569/355/4609/1026/6774/2475/356/7422/3553/1019/6714/5604/841/4790/5594/5894/3576/7852/581/836/5295/5743/5970/6347/4792/1021/2932/5747/5595/1432/1385/5293/5578/842/1869/5879/6198/5291/6667/3685/1147/3690/2185/5579/29110/1386/1870/468/2002/2923/6892/3710/801",63,"XKC"
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","40/724","99/8859",0.404040404040404,4.94391428093086,11.7720298279198,8.9635698233949e-19,1.21755156767781e-17,3.81344856521625e-18,"7157/5290/207/1029/1956/4193/2064/5925/595/2099/1026/596/2475/1019/6714/5604/5594/5894/2100/3480/4318/581/4313/5295/3725/5747/5595/1432/5599/5293/1869/6198/2353/5291/6667/5602/1565/2852/1870/8647",40,"XKC"
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","47/724","136/8859",0.345588235294118,4.2286825641859,11.3193166395873,1.48296343458153e-18,1.93378431869432e-17,6.05673486965931e-18,"7157/5290/7124/207/355/596/356/5604/841/4790/5594/5894/581/836/5295/8795/3725/5970/4792/598/5595/142/5599/1508/5293/842/4170/330/331/2353/5291/4803/5602/3562/10018/329/1509/1649/1514/1147/840/4217/468/1965/1075/3710/10038",47,"XKC"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","51/724","159/8859",0.320754716981132,3.92481496924841,11.101858177685,1.97987482902444e-18,2.48245843946911e-17,7.77521693989357e-18,"7157/5290/7124/207/1499/1956/5925/595/355/4609/3458/1026/6774/356/1019/5604/6772/841/4790/5594/5894/1950/581/836/5295/5970/4792/1021/2932/5595/1017/3627/5293/6256/842/1869/5291/9076/3949/5465/1147/6041/29110/1364/100506658/1870/1965/7534/10062/9075/7122",51,"XKC"
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","73/724","300/8859",0.243333333333333,2.97747237569061,10.3948417470786,3.60642458569155e-18,4.35442375902017e-17,1.3638330791894e-17,"7157/5979/7124/207/1956/2064/4233/355/4609/2260/7040/356/7422/3553/5604/4790/5594/5894/2065/3480/3791/1950/836/3630/3725/4149/3082/5970/3552/2247/627/3643/5595/4915/1432/5599/5578/5879/2322/2353/4803/5602/6416/3315/1649/1147/6789/4217/5579/1386/3727/468/2002/8912/773/779/6197/8569/776/775/777/1845/2872/774/55799/9254/783/785/784/8911/5778/782/93589",73,"XKC"
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","27/724","47/8859",0.574468085106383,7.02929940049371,12.3633703121347,5.49136620928232e-18,6.3935192293787e-17,2.00249068533979e-17,"5290/7124/2475/5594/5295/3630/5315/3643/5595/9370/5599/5580/5293/5291/5602/2645/6517/6514/5590/5581/3651/3099/773/776/775/777/774",27,"XKC"
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","35/724","80/8859",0.4375,5.35333218232044,11.6681665298982,6.56342616344554e-18,7.37819630787326e-17,2.31089777805524e-17,"5728/5290/207/1956/2064/4233/3569/6774/596/2475/7422/6714/5604/5594/5894/2065/3480/3791/1950/581/5295/3082/3717/2247/598/2932/5595/558/5293/5578/6198/5291/10018/1977/5579",35,"XKC"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","52/724","170/8859",0.305882352941176,3.74283392915177,10.7720266109292,9.31536128238554e-18,1.01226925935256e-16,3.17049138382947e-17,"7157/5728/5290/207/1029/1499/1956/7015/5925/4233/595/4609/1026/7040/2475/1019/5604/5594/5894/3480/581/5295/3082/4780/1021/598/2932/5595/8313/9817/4088/5293/5578/1869/6198/2950/8312/5291/2944/55193/1728/2952/51176/3162/5579/1870/2002/2947/2938/2946/2939/653689",52,"XKC"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","36/724","88/8859",0.409090909090909,5.00571320944249,11.2656168253604,3.15142341423055e-17,3.31407752593277e-16,1.03799005494181e-16,"5054/5328/5327/2152/7056/1191/5265/2147/7448/718/5340/3075/3827/716/2149/629/720/3426/713/710/1378/717/714/2/624/2243/2161/10544/727/721/3818/715/3053/623/725/100293534",36,"XKC"
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","39/724","103/8859",0.378640776699029,4.63311966958108,11.0637863710409,3.59574837128091e-17,3.66316865324243e-16,1.14732760531003e-16,"5290/7124/207/3569/355/3458/7040/356/3586/3553/841/4790/5594/3576/3558/5295/3725/5970/6347/4792/5595/7099/1432/4843/7097/5599/5293/5054/2353/5291/1636/5602/6416/1147/718/3827/713/714/624",39,"XKC"
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","33/724","77/8859",0.428571428571429,5.24408050513023,11.1581090620155,1.25695926832987e-16,1.24172339841072e-15,3.88915626883563e-16,"7157/5290/207/1029/4193/5925/595/4609/1026/7040/1019/5604/4790/5594/5894/5781/581/5295/5970/4792/1021/598/5595/4088/5293/3065/1869/5291/6777/3066/1147/6776/1870",33,"XKC"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","58/724","224/8859",0.258928571428571,3.16829863851618,9.80551205087147,6.13231945043503e-16,5.87981217894653e-15,1.84159438604396e-15,"7157/5728/11200/5290/7124/207/1029/7015/5925/595/3569/4609/1026/7040/1019/5604/4790/5594/3558/581/5295/3725/3383/5970/1387/4792/598/5595/6513/1437/1385/1017/894/898/4088/5599/5293/1869/331/2353/5291/6777/5602/3718/4316/1958/6416/1147/6776/3932/1386/1870/468/2002/8061/5423/23373/200186",58,"XKC"
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","55/724","205/8859",0.268292682926829,3.28287966581323,9.86528979524261,6.71953936330572e-16,6.08491620121573e-15,1.90583426386156e-15,"7157/5290/1029/4193/5925/595/1026/6774/1019/6714/841/4790/5594/581/836/5295/3725/5315/5970/1387/4792/1021/5595/1385/1017/894/898/5293/3065/5879/4067/9734/5291/6850/6777/983/3718/9759/3066/8841/6776/718/10013/7874/1386/468/5423/1233/7534/2934/10014/51564/83933/55869/79885",55,"XKC"
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","55/724","205/8859",0.268292682926829,3.28287966581323,9.86528979524261,6.71953936330572e-16,6.08491620121573e-15,1.90583426386156e-15,"5728/5290/207/7040/2475/4790/4318/4313/5295/3630/5970/3643/2932/6513/1432/142/1277/4088/5599/5580/5293/5578/5879/2597/5291/6667/1636/948/5602/2539/1509/4846/5465/2936/5579/6517/5590/183/9377/185/653361/5166/487/1327/815/1375/7384/1340/816/1329/1345/1346/1351/1350/1349",55,"XKC"
"Human Diseases","Infectious disease: viral","hsa05162","Measles","44/724","139/8859",0.316546762589928,3.87332564887317,10.1857344529859,8.11302797658261e-16,7.14823546044846e-15,2.23887258528738e-15,"7157/5290/207/595/3569/355/6774/596/356/3553/1019/6772/841/4790/3558/7161/581/836/5295/3725/5970/3552/4792/1021/598/2932/7099/1017/7097/894/898/5599/5293/842/2353/5291/6777/5602/3718/1147/6776/29110/1965/1457",44,"XKC"
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","34/724","87/8859",0.390804597701149,4.78195846827967,10.5751226389075,1.28360687877155e-15,1.10119958547244e-14,3.44902679337508e-15,"7157/5290/207/1499/1956/595/4609/1026/596/7040/2475/5604/5594/5894/1950/581/836/5295/3725/2932/5595/8313/4088/5599/5293/842/5879/6198/2353/8312/5291/5602/10018/51176",34,"XKC"
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","42/724","133/8859",0.315789473684211,3.86405931956964,9.92792682096977,4.11822158661347e-15,3.44241086470767e-14,1.07818486882998e-14,"5728/5290/207/1956/4193/595/3569/1026/6774/7040/356/3586/5604/5594/5894/3480/1950/5295/3630/1387/3643/5595/1432/1017/894/4088/5599/5293/23411/5291/5347/5602/10018/891/1147/847/6789/7874/6517/5562/5563/5564",42,"XKC"
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","34/724","90/8859",0.377777777777778,4.62255985267035,10.3043388533721,4.29033797374806e-15,3.49662544860467e-14,1.09516521961464e-14,"5728/5290/207/1956/238/3458/6774/29126/2475/3091/5604/6772/4790/5594/5894/5781/1950/5295/3725/5970/3717/4792/5595/7099/1432/7097/5293/6198/2353/5291/1147/3932/5777/1457",34,"XKC"
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","30/724","71/8859",0.422535211267606,5.17022021632558,10.5245002311311,5.00835486504323e-15,3.98225289269291e-14,1.247266808496e-14,"5290/207/595/2099/6774/6714/5604/6772/4790/5594/5894/2100/5295/3630/5970/3717/2932/5595/1432/894/5599/5293/3659/2353/5291/6777/5602/6776/2645/6514",30,"XKC"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","25/724","50/8859",0.5,6.11809392265193,10.826505254692,7.66236813518852e-15,5.94745717159871e-14,1.86278122584784e-14,"7124/4233/3569/3458/7040/3586/3553/3576/3082/3383/6347/959/7099/7097/1440/7057/7412/6401/948/5175/6403/3043/3039/3040/1378",25,"XKC"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","53/724","204/8859",0.259803921568627,3.17900958726032,9.39288556116946,1.00449029112657e-14,7.61543802109909e-14,2.38520338407043e-14,"7157/5290/7124/207/4193/5925/595/3569/355/4609/1026/6774/596/1019/6772/841/4790/581/836/7431/5295/3725/3383/5970/4792/1021/1432/1017/695/7097/3627/894/898/5599/5293/3065/842/1869/5879/4067/5291/6850/5602/3718/10018/6416/3066/1147/7874/29110/1870/2923/6892",53,"XKC"
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","29/724","68/8859",0.426470588235294,5.2183742281443,10.4169064463046,1.06921817735568e-14,7.92193467768072e-14,2.48120007663878e-14,"5290/207/595/4609/6774/2475/5604/4790/5594/5894/5295/5970/5914/5595/1437/5293/6198/2322/5291/4353/6777/3562/51176/1147/3728/6776/5467/5292/7704",29,"XKC"
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","37/724","109/8859",0.339449541284404,4.15356835115819,9.8825680456144,1.40357800148149e-14,1.0168142855177e-13,3.18472669341999e-14,"3569/3458/6774/7040/2475/3091/3553/6772/4790/5594/3558/3565/3725/50943/5970/3717/4792/3605/5914/3320/5595/1432/4088/5599/6256/2353/6777/5602/3718/196/1147/6776/6257/3932/6095/6258/6097",37,"XKC"
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","45/724","157/8859",0.286624203821656,3.50718759897245,9.45552092786084,2.33515714336651e-14,1.6549157146467e-13,5.18330075301033e-14,"7040/5468/3091/3586/5604/5594/5781/836/5743/3717/5747/5595/6513/1432/1385/558/7376/6256/7057/5879/23411/948/4953/3685/3690/19/834/5175/5467/840/6566/8877/240/5777/1051/1374/10062/383/246/713/714/487/815/1375/816",45,"XKC"
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","29/724","71/8859",0.408450704225352,4.99787954244806,10.0895593004443,4.19801359230007e-14,2.91181368316984e-13,9.11998473579187e-14,"7157/5728/5979/5290/207/1956/2064/4233/4609/2260/2475/3091/5604/5594/5894/5295/5315/5595/6513/5293/2322/5291/2539/3939/2645/51548/6514/3099/23410",29,"XKC"
"Human Diseases","Cancer: specific types","hsa05214","Glioma","30/724","76/8859",0.394736842105263,4.83007414946205,10.0034747233096,4.54372750973858e-14,3.08594826703079e-13,9.66538527290883e-14,"7157/5728/5290/207/1029/1956/4193/5925/595/1026/2475/1019/5604/5594/5894/3480/1950/581/5295/1021/5595/5293/5578/1869/5291/5579/1870/801/815/816",30,"XKC"
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","55/724","226/8859",0.243362831858407,2.97783332518457,8.98506827930164,6.21937433180553e-14,4.13778782075225e-13,1.2959813322989e-13,"5290/207/5604/4790/5594/5894/5295/3725/5970/1387/4792/627/5595/1385/5599/5293/1906/5879/2353/5291/1080/5602/1392/5465/1909/2740/10257/2641/2149/476/2903/135/5021/2904/3350/779/5338/2902/776/775/801/5337/134/4881/487/116443/1812/815/2906/2891/3352/3362/116444/816/56670",55,"XKC"
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","43/724","150/8859",0.286666666666667,3.50770718232044,9.2405250885428,8.91333290811094e-14,5.81149305608833e-13,1.82019640439318e-13,"7157/5290/207/999/1499/1956/7015/2064/5925/4233/595/4609/1026/596/7040/2475/5604/5594/5894/1950/581/5295/3082/2247/2932/5595/8313/5915/1017/5243/898/4088/5293/6256/1869/6198/8312/5291/51176/3728/6257/1870/6258",43,"XKC"
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","29/724","73/8859",0.397260273972603,4.86095133580565,9.88140047383132,9.95457060080011e-14,6.32002000887542e-13,1.97947026432327e-13,"7157/5728/5290/207/1029/999/1956/4193/5925/4233/595/1026/2260/1019/5604/5594/5894/3480/1950/581/5295/3082/2247/1021/5595/5293/1869/5291/1870",29,"XKC"
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","26/724","59/8859",0.440677966101695,5.39221837250679,10.0978039934431,1.00810135110896e-13,6.32002000887542e-13,1.97947026432327e-13,"7157/5728/5290/207/999/1499/1956/2064/595/4609/1026/5604/5594/5894/1950/581/5295/2932/5595/8313/5293/842/8312/5291/51176/2002",26,"XKC"
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","58/724","254/8859",0.228346456692913,2.79409013790403,8.65454065355398,2.42210404794604e-13,1.48982248986869e-12,4.66621832474212e-13,"5979/1956/2064/4233/2260/7422/2065/7852/3791/1950/3082/2247/4915/4843/5578/4803/4846/2185/1909/5737/5579/8877/952/2149/2903/135/185/5021/2904/8912/773/779/2902/776/3710/624/775/801/1139/1131/777/487/116443/147/1812/815/2906/774/90550/623/3362/116444/816/6546/5025/6543/8911/89832",58,"XKC"
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","31/724","86/8859",0.36046511627907,4.41071887447,9.48155192820349,3.14828024372312e-13,1.90062844343284e-12,5.95288857000277e-13,"5290/207/1956/2064/4609/1026/2475/6714/5604/5594/5894/2065/1950/5295/3725/2932/5747/5595/5599/5293/5578/6198/5291/6777/5602/6416/6776/5579/2002/815/816",31,"XKC"
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","43/724","157/8859",0.273885350318471,3.35131259457367,8.86765930680501,5.07522662422589e-13,3.00822523545025e-12,9.42195181913705e-13,"7157/5728/11200/5290/207/1029/4193/5925/595/3569/4609/1026/7040/2475/1019/5604/4790/5594/5894/3576/5295/5970/3552/1021/5595/1432/1017/894/898/4088/3486/5293/5054/1869/23411/5291/983/891/1870/776/3710/801/90550",43,"XKC"
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/724","122/8859",0.30327868852459,3.71097500226429,8.9946154993379,7.45980121385913e-13,4.34266999235371e-12,1.36015172508334e-12,"7157/5290/7068/207/1499/4193/595/2099/4609/2475/3091/6714/5604/6772/5594/5894/1733/5295/1387/2932/5595/6513/5293/3065/6256/5578/842/5291/3066/3685/8841/3690/6257/5579/476/6258/487",37,"XKC"
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","34/724","105/8859",0.323809523809524,3.96219415943173,9.10884353475567,7.96330048299832e-13,4.55444904817097e-12,1.42648226565251e-12,"5290/7124/207/4193/3569/3586/3553/6714/6772/841/4790/5594/5894/5781/3558/5295/5743/3725/5970/4792/5595/1432/5599/5580/5293/3659/5291/6850/5602/114548/1147/834/3710/801",34,"XKC"
