"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"(-)-epoxycaryophyllene","Curcumae Rhizoma","莪术","Ezhu","MOL000474","TCMol07294","(-)-Epoxycaryophyllene","35.9368494293","220.390","0.12925","1742210","NVEQFIOZRFFVFW-RGCMKSIDSA-N","(-)-Caryophyllene oxide;(-)-Epoxycaryophyllene;beta-CARYOPHYLLENE OXIDE;caryophyllene oxide;Caryophyllene oxide","Caryophyllene oxide","CC1(CC2C1CCC3(C(O3)CCC2=C)C)C",3.6,"Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","C16908",NA,NA,"C15H24O","(-)-Epoxycaryophyllene","BCHE"
"(-)-epoxycaryophyllene","Radix Bupleuri","柴胡","Chaihu","MOL000474","TCMol03896","(-)-Epoxycaryophyllene","35.9368494293","220.390","0.12925","1742210","NVEQFIOZRFFVFW-RGCMKSIDSA-N","(-)-Caryophyllene oxide;(-)-Epoxycaryophyllene;beta-CARYOPHYLLENE OXIDE;caryophyllene oxide;Caryophyllene oxide","Caryophyllene oxide","CC1(CC2C1CCC3(C(O3)CCC2=C)C)C",3.6,"Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","C16908",NA,NA,"C15H24O","(-)-Epoxycaryophyllene","BCHE"
"(-)-guaia-1(10),11-dien-15-al","Radix Bupleuri","柴胡","Chaihu","MOL003839","TCMol03703","(-)-Guaia-1(10),11-dien-15-al","29.7132392574","218.370","0.085921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(-)-isomenthone","Radix Bupleuri","柴胡","Chaihu","MOL002375","TCMol03661","(-)-isomenthone","61.1913451134","154.280","0.029402","6432469","NFLGAXVYCFJBMK-IUCAKERBSA-N","(-)-isomenthone;(2S,5S)-5-methyl-2-(propan-2-yl)cyclohexan-1-one;Isomenthone, (+/-)-","isomenthon","CC1CCC(C(=O)C1)C(C)C",2.7,NA,NA,NA,"C17125",NA,NA,"C10H18O"," (-)-isomenthone","TRPV3;OPRL1;KCNK4;TRPV1;TRPM8;TRPA1"
"(-)-isomenthone","Radix Bupleuri","柴胡","Chaihu","MOL002375","TCMol03661","(-)-isomenthone","61.1913451134","154.280","0.029402","6432469","NFLGAXVYCFJBMK-IUCAKERBSA-N","(-)-isomenthone;(2S,5S)-5-methyl-2-(propan-2-yl)cyclohexan-1-one;Isomenthone, (+/-)-","isomenthon","CC1CCC(C(=O)C1)C(C)C",2.7,NA,NA,NA,"C17125",NA,NA,"C10H18O","(-)-isomenthone","TRPV3;OPRL1;KCNK4;TRPV1;TRPM8;TRPA1"
"(-)-nopinene","Prunellae Spica","夏枯草","Xiakucao","MOL000126","TCMol28269","(-)-nopinene","44.83529174","136.260","0.052595","440967","WTARULDDTDQWMU-IUCAKERBSA-N","(-)-beta-Pinene;(-)-nopinene;(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","Nopinen","CC1(C2CCC(=C)C1C2)C",3.1,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C06307",NA,NA,"C10H16"," (-)-nopinene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-nopinene","Prunellae Spica","夏枯草","Xiakucao","MOL000126","TCMol28269","(-)-nopinene","44.83529174","136.260","0.052595","440967","WTARULDDTDQWMU-IUCAKERBSA-N","(-)-beta-Pinene;(-)-nopinene;(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","Nopinen","CC1(C2CCC(=C)C1C2)C",3.1,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C06307",NA,NA,"C10H16","(-)-nopinene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-nopinene","Radix Bupleuri","柴胡","Chaihu","MOL000126","TCMol03611","(-)-nopinene","44.83529174","136.260","0.052595","440967","WTARULDDTDQWMU-IUCAKERBSA-N","(-)-beta-Pinene;(-)-nopinene;(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","Nopinen","CC1(C2CCC(=C)C1C2)C",3.1,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C06307",NA,NA,"C10H16"," (-)-nopinene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-nopinene","Radix Bupleuri","柴胡","Chaihu","MOL000126","TCMol03611","(-)-nopinene","44.83529174","136.260","0.052595","440967","WTARULDDTDQWMU-IUCAKERBSA-N","(-)-beta-Pinene;(-)-nopinene;(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","Nopinen","CC1(C2CCC(=C)C1C2)C",3.1,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C06307",NA,NA,"C10H16","(-)-nopinene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-taxifolin","Gleditsiae Spina","皂角刺","Zaojiaoci","MOL001736","TCMol31847","(-)-taxifolin","60.5062169158","304.270","0.27342","712316","CXQWRCVTCMQVQX-CABCVRRESA-N","(-)-Dihydroquercetin;(-)-taxifolin","(-)-Dihydroquercetin","C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O",1.5,NA,NA,NA,NA,NA,NA,"C15H12O7","(-)-taxifolin",NA
"()-alpha-terpineol","Angelicae Sinensis Radix","当归","Danggui","MOL000232","TCMol06062","()-alpha-Terpineol","46.2977622082","154.280","0.030811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-aromadendrene","Curcumae Rhizoma","莪术","Ezhu","MOL000208","TCMol07282","()-Aromadendrene","55.7416730964","204.390","0.10418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-beta-pinene","Curcumae Rhizoma","莪术","Ezhu","MOL000905","TCMol07317","()-beta-Pinene","44.7682378305","136.260","0.052595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-borneol","Radix Bupleuri","柴胡","Chaihu","MOL000244","TCMol03664","()-Borneol","81.8031448383","154.280","0.052753","1201518","DTGKSKDOIYIVQL-QXFUBDJGSA-N","(-)-borneol;(-)-Borneol;()-Borneol;(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol;[(1S)-endo]-(-)-Borneol;Borneol;Borneol, (-)-","(-)-borneol","CC1(C2CCC1(C(C2)O)C)C",2.7,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C01765",NA,NA,NA,"()-Borneol","VEGFA;TJP1;TRPM8;MMP9;TRPV3;NEFL;OPRK1;KCNK4;TACR2;CACNA1A;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;CACNA1G;TRPA1"
"()-borneol","Curcumae Rhizoma","莪术","Ezhu","MOL000244","TCMol07285","()-Borneol","81.8031448383","154.280","0.052753","1201518","DTGKSKDOIYIVQL-QXFUBDJGSA-N","(-)-borneol;(-)-Borneol;()-Borneol;(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol;[(1S)-endo]-(-)-Borneol;Borneol;Borneol, (-)-","(-)-borneol","CC1(C2CCC1(C(C2)O)C)C",2.7,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C01765",NA,NA,NA,"()-Borneol","VEGFA;TJP1;TRPM8;MMP9;TRPV3;NEFL;OPRK1;KCNK4;TACR2;CACNA1A;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;CACNA1G;TRPA1"
"()-camphoric acid","Angelicae Sinensis Radix","当归","Danggui","MOL008286","TCMol06144","()-Camphoric acid","99.1288344948","200.260","0.065643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-cuparene","Radix Bupleuri","柴胡","Chaihu","MOL002029","TCMol03643","()-Cuparene","38.2630865387","202.370","0.07494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-cuparene","Angelicae Sinensis Radix","当归","Danggui","MOL002029","TCMol06048","()-Cuparene","38.2630865387","202.370","0.07494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-nootkatone","Radix Bupleuri","柴胡","Chaihu","MOL004067","TCMol03705","()-Nootkatone","33.0438011489","218.370","0.097092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-terpinen-4-ol","Radix Bupleuri","柴胡","Chaihu","MOL000608","TCMol03899","()-Terpinen-4-ol","81.4066718802","154.280","0.032323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"()-trans-myrtanol","Paeoniae Radix Alba","白芍","Baishao","MOL001897","TCMol01148","()-trans-Myrtanol","49.6649497045","154.280","0.058729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(&#8722;)-alloaromadendrene","Radix Bupleuri","柴胡","Chaihu","MOL001179","TCMol03606","(&#8722;)-Alloaromadendrene","54.0393354953","204.390","0.10417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(+)-alpha-curcumene","Curcumae Rhizoma","莪术","Ezhu","MOL000890","TCMol07302","(+)-alpha-Curcumene","26.56378766","202.370","0.055919","3083834","VMYXUZSZMNBRCN-AWEZNQCLSA-N","(+)-alpha-Curcumene;1-methyl-4-[(2S)-6-methylhept-5-en-2-yl]benzene;alpha-curcumene;ar-curcumene;ar-Curcumene","(+)-alpha-Curcumene","CC1=CC=C(C=C1)C(C)CCC=C(C)C",5.4,"Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,"(+)-alpha-Curcumene","CES1;CYP46A1;CHGA;CNGA1;ADH7;LACC1;ADRA1D;ADRA1B;ADRA1A;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CYP2B6;KCNU1;DRD5;ALDH3A2;SIRT3;GABBR1;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GJA8;HIF1A;ACACA;AOC2;ACACB;HRH1;HRH2;XIAP;HSP90AA1;APLP1;HTR2A;HTR2C;HTR7;APRT;KCNJ1;KCNJ8;KCNMA1;KCNN3;CHCHD10;ARRB2;ACHE;MTAP;PNP;P4HA1;P4HB;PARK2;TLR7;TLR8;ACP1;PRKAA1;PRKAA2;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PECR;PRKCI;GABRQ;PRKCQ;PRKCZ;PRKG2;ARRDC3;BCHE;ACTB;SCN1A;SCNN1A;SCNN1B;SCNN1D;SCNN1G;SLC6A2;SNCA;SRPK2;TNFSF4;CALCA;CALM1;CALM2;CALM3;COLQ;AOC3"
"(+)-anomalin","Radix Bupleuri","柴胡","Chaihu","MOL004653","TCMol03782","(+)-Anomalin","46.0553407638","426.500","0.6566","6450453","PNTWXEIQXBRCPS-PVRNWPCDSA-N","(+)-Anomalin;Praeruptorin B","Praeruptorin B","CC=C(C)C(=O)OC1C(C(OC2=C1C3=C(C=C2)C=CC(=O)O3)(C)C)OC(=O)C(=CC)C",4.3,NA,NA,NA,NA,NA,NA,NA,"(+)-Anomalin",NA
"(+)-catechin","Cortex Moutan","牡丹皮","Mudanpi","MOL000492","TCMol19372","(+)-catechin","54.8264340523","290.290","0.24164","1203","PFTAWBLQPZVEMU-UHFFFAOYSA-N","2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol","(+)-catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,"Phenylpropanoids and polyketides","Flavonoids","Flavans","C17590",NA,NA,NA," (+)-Catechin","CCNB1;CAT;CYCS;SOD2;PLAT;CASP3;CDK2;DIO1;IL6;COMT;SOD1;GAA;CCNA2;BCL2;NCF1;PNLIP;CSF2;PLAU;LPL;CD4;PTK2;ALOX5;MAL62;rep;ureB"
"(+)-catechin","Cortex Moutan","牡丹皮","Mudanpi","MOL000492","TCMol19372","(+)-catechin","54.8264340523","290.290","0.24164","9064","PFTAWBLQPZVEMU-DZGCQCFKSA-N","(+)-catechin;(+)-Catechin;(+)-Catechin hydrate;(+)-Catechin Hydrate;(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;catechin;Catechin;Cianidanol;CIANIDANOL","Catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,NA,NA,NA,"C06562;D00200",NA,NA,NA,"(+)-Catechin","KLF7;DHFR;FASN;PPARG;CA12;PTGS1;PNLIP;F2;CA1;CA2;ALPL;CA3;Akr1b1;ALPI;AMY1A;ALPG;Alpi;CA4;CA6;Si;CD38;CA5A;CA7;XDH;MTNR1A;MTNR1B;DAPK1;CA9;CA13;Ca15;CA14;CA5B"
"(+)-catechin","Cortex Moutan","牡丹皮","Mudanpi","MOL000492","TCMol19372","(+)-catechin","54.8264340523","290.290","0.24164","9064","PFTAWBLQPZVEMU-DZGCQCFKSA-N","(+)-catechin;(+)-Catechin;(+)-Catechin hydrate;(+)-Catechin Hydrate;(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;catechin;Catechin;Cianidanol;CIANIDANOL","Catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,NA,NA,NA,"C06562;D00200",NA,NA,NA,"(+)-catechin","KLF7;DHFR;FASN;PPARG;CA12;PTGS1;PNLIP;F2;CA1;CA2;ALPL;CA3;Akr1b1;ALPI;AMY1A;ALPG;Alpi;CA4;CA6;Si;CD38;CA5A;CA7;XDH;MTNR1A;MTNR1B;DAPK1;CA9;CA13;Ca15;CA14;CA5B"
"(+)-catechin","Paeoniae Radix Alba","白芍","Baishao","MOL000492","TCMol01195","(+)-catechin","54.8264340523","290.290","0.24164","1203","PFTAWBLQPZVEMU-UHFFFAOYSA-N","2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol","(+)-catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,"Phenylpropanoids and polyketides","Flavonoids","Flavans","C17590",NA,NA,NA," (+)-Catechin","CCNB1;CAT;CYCS;SOD2;PLAT;CASP3;CDK2;DIO1;IL6;COMT;SOD1;GAA;CCNA2;BCL2;NCF1;PNLIP;CSF2;PLAU;LPL;CD4;PTK2;ALOX5;MAL62;rep;ureB"
"(+)-catechin","Paeoniae Radix Alba","白芍","Baishao","MOL000492","TCMol01195","(+)-catechin","54.8264340523","290.290","0.24164","9064","PFTAWBLQPZVEMU-DZGCQCFKSA-N","(+)-catechin;(+)-Catechin;(+)-Catechin hydrate;(+)-Catechin Hydrate;(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;catechin;Catechin;Cianidanol;CIANIDANOL","Catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,NA,NA,NA,"C06562;D00200",NA,NA,NA,"(+)-Catechin","KLF7;DHFR;FASN;PPARG;CA12;PTGS1;PNLIP;F2;CA1;CA2;ALPL;CA3;Akr1b1;ALPI;AMY1A;ALPG;Alpi;CA4;CA6;Si;CD38;CA5A;CA7;XDH;MTNR1A;MTNR1B;DAPK1;CA9;CA13;Ca15;CA14;CA5B"
"(+)-catechin","Paeoniae Radix Alba","白芍","Baishao","MOL000492","TCMol01195","(+)-catechin","54.8264340523","290.290","0.24164","9064","PFTAWBLQPZVEMU-DZGCQCFKSA-N","(+)-catechin;(+)-Catechin;(+)-Catechin hydrate;(+)-Catechin Hydrate;(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;catechin;Catechin;Cianidanol;CIANIDANOL","Catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,NA,NA,NA,"C06562;D00200",NA,NA,NA,"(+)-catechin","KLF7;DHFR;FASN;PPARG;CA12;PTGS1;PNLIP;F2;CA1;CA2;ALPL;CA3;Akr1b1;ALPI;AMY1A;ALPG;Alpi;CA4;CA6;Si;CD38;CA5A;CA7;XDH;MTNR1A;MTNR1B;DAPK1;CA9;CA13;Ca15;CA14;CA5B"
"(+)-ledol","Angelicae Sinensis Radix","当归","Danggui","MOL001388","TCMol06039","(+)-Ledol","16.9554765285","222.410","0.12057","11074994","AYXPYQRXGNDJFU-AQEIEYEASA-N","(+)-Ledol;ledol;Ledol","Ledol","CC1CCC2C1C3C(C3(C)C)CCC2(C)O",3.7,"Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","C09698",NA,NA,NA,"(+)-Ledol",NA
"(+)-ledol","Angelicae Sinensis Radix","当归","Danggui","MOL001388","TCMol06039","(+)-Ledol","16.9554765285","222.410","0.12057","22297324","AYXPYQRXGNDJFU-IFROYYDGSA-N","(+)-Ledol;ledol;Ledol;Ledum camphor","Ledol","CC1CCC2C1C3C(C3(C)C)CCC2(C)O",3.7,NA,NA,NA,"C09698",NA,NA,NA,"(+)-Ledol",NA
"(+)-ledol","Angelicae Sinensis Radix","当归","Danggui","MOL001388","TCMol06039","(+)-Ledol","16.9554765285","222.410","0.12057","6432561","AYXPYQRXGNDJFU-JDQINNIXSA-N","(+)-Ledol;1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, [1ar-(1aalpha,4alpha,4abeta,7alpha,7abeta,7balpha)]-;ledol;Ledol","Ledol","CC1CCC2C1C3C(C3(C)C)CCC2(C)O",3.7,"Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","C09698",NA,NA,NA,"(+)-Ledol",NA
"(+)-ledol","Angelicae Sinensis Radix","当归","Danggui","MOL001388","TCMol06039","(+)-Ledol","16.9554765285","222.410","0.12057","25199889","AYXPYQRXGNDJFU-UCLMFWMVSA-N","(+)-Ledol","(+)-Ledol","CC1CCC2C1C3C(C3(C)C)CCC2(C)O",3.7,NA,NA,NA,NA,NA,NA,NA,"(+)-Ledol",NA
"(+)-trans-carveol","Radix Bupleuri","柴胡","Chaihu","MOL004709","TCMol03838","(+)-trans-Carveol","44.21401966","152.260","0.02962","443178",NA,"(+)-trans-Carveol;(1R,5S)-2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-ol","(+)-trans-Carveol",NA,NA,NA,NA,NA,"C11409",NA,NA,"C10H16O","(+)-trans-Carveol","CACNG3;CACNG2;CYP27B1;CLEC4E;CACNG5;CACNG4;CACNA2D3;CACNG8;CACNG7;CACNG6;RORA;RXRA;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3"
