pmid,title,abstract,year,journal,journal_abbr,authors,full_authors,first_author,affiliations,mesh,other_terms,keywords,publication_types,doi,volume,issue,issn,pages,source_database,wos_id
7247159,Trochlear nerve palsy as a false localizing sign.,"A 12-year-old boy developed a fourth nerve palsy during the course of pseudotumor cerebri syndrome. False or nonlocalizing signs that occur during the course of intracranial disease are briefly reviewed. The rarity of a fourth nerve palsy as a false localizing sign is pointed out. However, the question is raised whether a number of subtle fourth nerve palsies go unnoticed and that the true incidence of false localizing fourth nerve palsies is higher.",1981,Annals of ophthalmology,Ann Ophthalmol,Halpern JI; Gordon WH Jr,"Halpern, J I; Gordon, W H Jr",Halpern JI,,"Child; Humans; Male; Ophthalmoplegia/*etiology; Papilledema/etiology; Pseudotumor Cerebri/*complications/diagnosis; Tomography, X-Ray Computed; *Trochlear Nerve",,"Child; Humans; Male; Ophthalmoplegia; Papilledema; Pseudotumor Cerebri; Tomography, X-Ray Computed; Trochlear Nerve","Case Reports; Journal Article; Research Support, Non-U.S. Gov't",,13,1,0003-4886 (Print); 0003-4886 (Linking),53-6,PubMed,
18141993,False localizing signs in cerebral tumours.,,1949,Postgraduate medical journal,Postgrad Med J,TATLOW WF,"TATLOW, W F T",TATLOW WF,,*Brain; *Brain Neoplasms; Humans; *Physical Examination,*BRAIN/tumors,Brain; Brain Neoplasms; Humans; Physical Examination; BRAIN,Journal Article,10.1136/pgmj.25.287.445,25,287,0032-5473 (Print); 1469-0756 (Electronic); 0032-5473 (Linking),445-8,PubMed,
15201388,Extensive radiculopathy: another false localising sign in intracranial hypertension.,,2004,"Journal of neurology, neurosurgery, and psychiatry",J Neurol Neurosurg Psychiatry,Moosa A; Joy MA; Kumar A,"Moosa, A; Joy, M A; Kumar, A",Moosa A,,"Diagnosis, Differential; Humans; Hypertension/*diagnosis; Radiculopathy/*diagnosis/*etiology; Spinal Cord Compression/complications",,"Diagnosis, Differential; Humans; Hypertension; Radiculopathy; Spinal Cord Compression",Comment; Letter,,75,7,0022-3050 (Print); 1468-330X (Electronic); 0022-3050 (Linking),1080-1,PubMed,
25883838,Pupil sparing oculomotor nerve paresis after anterior communicating artery aneurysm rupture: False localizing sign or acute microvascular ischemia?,"BACKGROUND: We describe a rare case of solitary pupil sparing oculomotor nerve paresis following rupture of anterior communicating artery (ACom) aneurysm and discuss the pertinent literature. Oculomotor nerve paresis caused by an ACom aneurysm rupture is an uncommon occurrence. Also, partial paresis affecting only fibers of superior division of oculomotor nerve is never reported before. CASE DESCRIPTION: A 55-year-old female, known hypertensive presented 5 days after an episode of acute severe headache, with Glasgow Coma Scale (GCS) of E2V2M5, left ptosis, normal pupils, paraparesis, and computed tomography (CT) scan showed diffuse subarachnoid hemorrhage (SAH). CT angiography revealed ACom aneurysm pointing antero-superiorly toward right. Patient later underwent endovascular coiling of the aneurysm. Subsequently there was partial improvement of ptosis in 3 weeks. CONCLUSION: Though pupil sparing oculomotor nerve paresis may not have much localizing value, it helps to understand acute microvascular spasm with potential therapeutic implications.",2015,Surgical neurology international,Surg Neurol Int,Srinivasan A; Dhandapani S; Kumar A,"Srinivasan, Anirudh; Dhandapani, Sivashanmugam; Kumar, Ajay",Srinivasan A,"Department of Neurosurgery, PGIMER, Chandigarh, India. | Department of Neurosurgery, PGIMER, Chandigarh, India. | Department of Neuroradiology, PGIMER, Chandigarh, India.",,Anterior communicating artery aneurysm; micro vascular spasm; pupil sparing oculomotor paresis; subarachnoid haemorrhage,Anterior communicating artery aneurysm; micro vascular spasm; pupil sparing oculomotor paresis; subarachnoid haemorrhage,Case Reports; Journal Article,10.4103/2152-7806.153877,6,,2229-5097 (Print); 2152-7806 (Electronic); 2152-7806 (Linking),46,PubMed,
12080871,Kernohan's notch phenomenon: a case study.,"In a patient suffering from brain herniation due to a right-sided subdural hematoma, a neurological examination should show left-sided deficits, known as localizing signs, and a decreased level of consciousness. However, false localizing signs may be present, attributed to pressure on Kernohan's notch. A case study demonstrates these false localizing signs, known as Kernohan's notch phenomenon.",2002,The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,J Neurosci Nurs,Schedler P; Geary S,"Schedler, Pam; Geary, Siobhan",Schedler P,"Sutter Medical Center, Nursing Administration, 2801 L Street, Sacramento, CA 95816, USA.","Adult; Hematoma, Subdural, Acute/*pathology/*physiopathology; Humans; Magnetic Resonance Imaging; Male; Parahippocampal Gyrus/*pathology",,"Adult; Hematoma, Subdural, Acute; Humans; Magnetic Resonance Imaging; Male; Parahippocampal Gyrus",Case Reports; Journal Article,10.1097/01376517-200206000-00008,34,3,0888-0395 (Print); 0888-0395 (Linking),158-9,PubMed,
11792482,Papilledema as a 'false' localizing sign.,"A 47-year-old woman with a 3 month's history of progressive visual loss in her right eye presented with right fundus normal but with marked papilledema on the left. Magnetic resonance imaging (MRI) revealed a large right 'en plaque' meningioma which was successfully removed via a pterional craniotomy. The case outlines that unilateral papilledema offers little information concerning tumor localization, and may represent a 'false' localizing sign.",2002,Clinical neurology and neurosurgery,Clin Neurol Neurosurg,Mariniello G; Bonavolontà G; de Divitiis E,"Mariniello, Giuseppe; Bonavolontà, Giulio; de Divitiis, Enrico",Mariniello G,"Department of Neurosurgery, School of Medicine, Federico II University, 5 Via S. Pansini, 80131, Naples, Italy. g.mariniello@tin.it",Craniotomy; False Negative Reactions; Female; Functional Laterality; Humans; Meningeal Neoplasms/complications/*pathology/surgery; Meningioma/complications/*pathology/surgery; Middle Aged; Papilledema/*etiology; Vision Disorders/etiology,,Craniotomy; False Negative Reactions; Female; Functional Laterality; Humans; Meningeal Neoplasms; Meningioma; Middle Aged; Papilledema; Vision Disorders,Case Reports; Journal Article,10.1016/s0303-8467(01)00185-8,104,1,0303-8467 (Print); 0303-8467 (Linking),69-71,PubMed,
1619427,Seventh nerve palsy as a false localising sign.,,1992,"Journal of neurology, neurosurgery, and psychiatry",J Neurol Neurosurg Psychiatry,Davie C; Kennedy P; Katifi HA,"Davie, C; Kennedy, P; Katifi, H A",Davie C,,"Adult; Cerebrospinal Fluid/chemistry; Cranial Nerve Diseases/classification/*diagnosis/etiology; Female; Headache/complications/diagnosis/physiopathology; Humans; Neurologic Examination; Papilledema/diagnosis/*pathology; Pseudotumor Cerebri/*diagnosis/etiology/physiopathology; Spinal Puncture; Tomography, X-Ray Computed",,"Adult; Cerebrospinal Fluid; Cranial Nerve Diseases; Female; Headache; Humans; Neurologic Examination; Papilledema; Pseudotumor Cerebri; Spinal Puncture; Tomography, X-Ray Computed",Case Reports; Letter,10.1136/jnnp.55.6.510,55,6,0022-3050 (Print); 1468-330X (Electronic); 0022-3050 (Linking),510-1,PubMed,
30200137,False localizing sign caused by schwannoma in cervical spinal canal at C1-2 level: A case report.,"RATIONALE: False localizing sign means that the lesion, which is the cause of the symptom, is remote or distant from the anatomical site predicted by neurological examination. This concept contradicts the classical clinicoanatomical correlation paradigm underlying neurological examinations. PATIENT CONCERNS: A 54-year-old man consulted for the right sciatica-like leg pain that had aggravated 1 year ago. Radiological examinations revealed degenerative spondylolisthesis with instability and right-sided recess stenosis at the L4-5 level. After initial improvement following 3 transforaminal epidural steroid injections with gabapentin and antidepressant medication, there was a recurrence of the symptoms a year later, along with wasting of the right leg for several months. Physical examination revealed difficulty in heel-walking and a weakness of extension of the right big toe; tendon reflexes were normal. Lumbar spine radiographs revealed no new findings. The initial course of treatment was repeated, but was ineffective. DIAGNOSES: Further cervicothoracic spine evaluations revealed a right-sided intradural-extramedullary mass and myelopathy at the C1-2 level. INTERVENTIONS: The cervical mass was surgically resected and identified histopathologically as a schwannoma. OUTCOMES: Immediately after surgery, sciatica-like pain and weakness of right leg were completely resolved. LESSONS: It is difficult to make an accurate diagnosis if there are symptoms caused by false localizing sign. Additionally, it is even more difficult to diagnose false localizing sign accurately when there is a co-existing lumbar lesion that can cause the similar symptoms.",2018,Medicine,Medicine (Baltimore),Park JM; Kim JH,"Park, Jun Mo; Kim, Ji Hyo",Park JM,"Department of Anesthesiology and Pain Medicine, School of Medicine, Kyungpook National University, Daegu, South Korea.",Cervical Vertebrae/*diagnostic imaging; Humans; Male; Middle Aged; Neurilemmoma/*diagnostic imaging/drug therapy/pathology/surgery; Pain/diagnostic imaging/drug therapy/etiology/surgery; Spinal Canal/*diagnostic imaging; Spinal Cord Neoplasms/*diagnostic imaging/drug therapy/pathology/surgery; Spondylolisthesis/*diagnostic imaging/drug therapy/pathology/surgery,,Cervical Vertebrae; Humans; Male; Middle Aged; Neurilemmoma; Pain; Spinal Canal; Spinal Cord Neoplasms; Spondylolisthesis,Case Reports; Journal Article,10.1097/md.0000000000012215,97,36,1536-5964 (Electronic); 0025-7974 (Print); 0025-7974 (Linking),e12215,PubMed,
11447537,Naloxone: a potential false localizing sign.,,2001,The American journal of emergency medicine,Am J Emerg Med,Song EK,"Song, E K",Song EK,,Cerebral Hemorrhage/*diagnosis; Diagnostic Errors; Drug Overdose/diagnosis; Humans; Male; Middle Aged; *Naloxone/pharmacology; *Narcotic Antagonists/pharmacology; Narcotics/*poisoning,,Cerebral Hemorrhage; Diagnostic Errors; Drug Overdose; Humans; Male; Middle Aged; Naloxone; Narcotic Antagonists; Narcotics,Case Reports; Letter,10.1053/ajem.2001.24469,19,4,0735-6757 (Print); 0735-6757 (Linking),331-2,PubMed,
41881482,Abducens nerve palsy as a false localising sign in spontaneous intracranial hypotension.,"Spontaneous intracranial hypotension (SIH) with the formation of a spinal longitudinal epidural collection (SLEC) is an important treatable cause of headache. Left untreated, neurological sequelae can include cranial neuropathy, superficial siderosis and brain-sagging dementia. We describe a male in his late 40s presenting with orthostatic low-pressure headache and binocular horizontal diplopia due to an isolated left abducens nerve palsy, a recognised false localising sign. Imaging revealed intracranial hypotension associated with a SLEC, attributed to a cervical osteophyte associated dural tear. An empirical lumbar epidural blood patching led to rapid clinical improvement and radiological resolution of the SLEC on follow-up imaging. This case highlights that abducens nerve palsy, traditionally considered a false localising sign of raised intracranial pressure, can occur in low-pressure states. Spinal imaging is crucial for identifying SLEC and guiding management, enabling prompt treatment to prevent severe neurological outcomes. We also review the causes, diagnosis and management of SIH.",2026,BMJ case reports,BMJ Case Rep,Rama Raj P; Pho H; Kopanidis P; Kok HK,"Rama Raj, Palaniraj; Pho, Helen; Kopanidis, Paul; Kok, Hong Kuan",Rama Raj P,"Department of Neurology, Northern Hospital, Epping, Victoria, Australia palaneraj@gmail.com. | Department of General Medicine, Shellharbour Hospital, Shellharbour, New South Wales, Australia. | Department of Neurology, Northern Hospital, Epping, Victoria, Australia. | Department of Neurology, Northern Hospital, Epping, Victoria, Australia. | Department of Radiology, Northern Hospital, Epping, Victoria, Australia.","Humans; *Intracranial Hypotension/complications/diagnostic imaging/therapy/diagnosis; *Abducens Nerve Diseases/etiology/diagnostic imaging/therapy/diagnosis; Male; Blood Patch, Epidural/methods; Diplopia/etiology; Headache/etiology; Magnetic Resonance Imaging; Diagnosis, Differential; Middle Aged; Osteophyte/complications/diagnostic imaging",Headache (including migraines); Interventional radiology; Neuroimaging; Neuroopthalmology; Radiology,"Humans; Intracranial Hypotension; Abducens Nerve Diseases; Male; Blood Patch, Epidural; Diplopia; Headache; Magnetic Resonance Imaging; Diagnosis, Differential; Middle Aged; Osteophyte; Headache (including migraines); Interventional radiology; Neuroimaging; Neuroopthalmology; Radiology",Case Reports; Journal Article,10.1136/bcr-2025-269404,19,3,1757-790X (Electronic); 1757-790X (Linking),,PubMed,
37350249,Cervical cord compression with lower limb sensory disturbance: three case reports and a literature review.,"Lower limb sensory disturbance can be a false localizing sign of cervical spondylotic myelopathy. It may lead to delayed or missed diagnosis, resulting in an inappropriate management plan, especially in the presence of concurrent lumbar lesions. Three Asian patients with lower limb sensory disturbance were ineffectively treated in the lumbar region. Magnetic resonance imaging showed cervical disc herniation and cervical spinal cord compression. The patients underwent anterior cervical discectomy and interbody fusion using a stand-alone cervical interbody fusion cage. Postoperative imaging showed that the spinal cord compression was relieved. On the first postoperative day, the lower limb sensory disturbance was also relieved. The patients showed good recovery at the 3-month postoperative follow-up. These three cases of cervical cord compression with lower limb sensory disturbance were easily misdiagnosed as lumbar spondylosis. Anterior cervical discectomy and fusion had a good therapeutic effect. Therefore, the presence of lower limb sensory disturbance in a non-radicular classic pattern should always raise suspicion of a possible cord compression at a higher level.",2023,The Journal of international medical research,J Int Med Res,Gao K; Cao Y; Wu Y; Yu W; Liu W; Sun S,"Gao, Kun; Cao, Yafei; Wu, Yihong; Yu, Weiji; Liu, Weidong; Sun, Shufen",Gao K,"Department of Orthopedics and Traumatology, Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China. | Department of Orthopedics and Traumatology, Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China. | Department of Orthopedics and Traumatology, Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China. | Department of Orthopedics and Traumatology, Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China. | Department of Orthopedics and Traumatology, Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China. | Department of Orthopedics and Traumatology, Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China.",Humans; *Spinal Cord Compression/diagnosis/diagnostic imaging; *Cervical Cord; *Spondylosis/complications/diagnostic imaging/surgery; *Spinal Cord Diseases/surgery; Magnetic Resonance Imaging,Cervical spine; cervical spondylotic myelopathy; false localizing; lower limb sensory disturbance; magnetic resonance imaging; tract pain,Humans; Spinal Cord Compression; Cervical Cord; Spondylosis; Spinal Cord Diseases; Magnetic Resonance Imaging; Cervical spine; cervical spondylotic myelopathy; false localizing; lower limb sensory disturbance; magnetic resonance imaging; tract pain,Case Reports; Journal Article; Review,10.1177_03000605231178414 [pii],51,6,1473-2300 (Electronic); 0300-0605 (Print); 0300-0605 (Linking),3000605231178414,PubMed,
19557561,False localizing signs in traumatic brain injury.,"BACKGROUND: Hemiparesis ipsilateral to a mass-occupying lesion can be due to Kernohan-Woltman Notch Phenomenon (KWNP). This syndrome implies a false-localizing sign because clinical findings lead the examiner to an incorrect neuroanatomical diagnosis. The contralateral crus cerebri (pyramidal tract) is pressed against the tentorial incisum and a resultant hemiparesis is found on the same side of the lesion. REVIEW: A detailed literature search of false-localizing signs is presented. CONCLUSIONS: Not infrequently, patients presenting to a physiatrist may have incomplete records. The existence of false localizing signs may point the physician towards the wrong underlying pathology.",2009,Brain injury,Brain Inj,McKenna C; Fellus J; Barrett AM,"McKenna, Cristin; Fellus, Jonathan; Barrett, Anna M",McKenna C,"Kessler Institute for Rehabilitation, West Orange, NJ 07052, USA. cmckenna@kmrrec.org","Brain Injuries/*diagnosis/pathology/physiopathology; Clinical Competence/standards; Diagnosis, Differential; Humans; Paresis/*diagnosis/physiopathology",,"Brain Injuries; Clinical Competence; Diagnosis, Differential; Humans; Paresis",Journal Article,10.1080/02699050902973921,23,7,1362-301X (Electronic); 0269-9052 (Print); 0269-9052 (Linking),597-601,PubMed,
31513953,Cervical Myelopathy without Symptoms in the Upper Extremities: Incidence and Presenting Characteristics.,"BACKGROUND: Common signs and symptoms of cervical myelopathy (CM) predominantly manifest in the upper extremities and include hand numbness, hand clumsiness, and distal upper extremity weakness. CM manifesting without symptoms in the upper extremities is rare. This study aimed to better understand the incidence and character of such cases. METHODS: A retrospective review of surgeries for CM from disc herniation, spondylosis, or ossification of posterior longitudinal ligament over a 12-year period was performed to identify patients presenting without symptoms in the upper extremities. RESULTS: Of 982 surgically treated patients with CM, 12 (1.2%) had no upper extremity symptoms. All had difficulty ambulating, and 7 of 12 (58%) patients had objective lower extremity weakness. Ten (83%) patients had a history of lumbar degenerative disease. On sensory examination, 4 (33%) patients had a discernible midthoracic pin level, 3 (25%) had loss of sensation from the upper leg and genital area down, and 2 (17%) had only genital/upper thigh area sensory loss. All patients demonstrated neurologic improvement after decompressive surgery. CONCLUSIONS: Patients with CM may rarely present without symptoms in the upper extremities, presenting with numbness perceived from the upper trunk, waist area, or perineum and legs in addition to leg weakness and gait difficulty. All patients had cervical cord compression at either C5-6 or C6-7 level, accounting for 1% of all patients undergoing cervical surgery. Awareness of this atypical pattern of presentation may aid in clinical assessment of a subset of patients with cervical cord compression.",2019,World neurosurgery,World Neurosurg,Houten JK; Pasternack J; Norton RP,"Houten, John K; Pasternack, Jordan; Norton, Robert P",Houten JK,"Department of Orthopedic Surgery, Maimonides Medical Center, Brooklyn, New York, USA; Department of Neurosurgery, Maimonides Medical Center, Brooklyn, New York, USA; Department of Neurosurgery, Hofstra Northwell School of Medicine, Manhasset, New York, USA. Electronic address: jkhmd@yahoo.com. | Department of Orthopedic Surgery, Maimonides Medical Center, Brooklyn, New York, USA. | Department of Surgery, Florida Atlantic University Charles E. Schmidt College of Medicine, Boca Raton, Florida, USA.","Adult; Aged; Cervical Vertebrae/diagnostic imaging/*surgery; Decompression, Surgical; Female; Humans; Hypesthesia/etiology; Incidence; Intervertebral Disc Degeneration/complications; Magnetic Resonance Imaging; Male; Middle Aged; Mobility Limitation; Muscle Weakness/etiology; Retrospective Studies; Spinal Cord Compression/diagnosis/epidemiology/surgery; Spinal Cord Diseases/diagnosis/epidemiology/*surgery; Treatment Outcome; *Upper Extremity",Cervical myelopathy; Cervical spine surgery; False localizing sign; Neurologic examination; Presenting symptoms; Sensory level; Spinal cord,"Adult; Aged; Cervical Vertebrae; Decompression, Surgical; Female; Humans; Hypesthesia; Incidence; Intervertebral Disc Degeneration; Magnetic Resonance Imaging; Male; Middle Aged; Mobility Limitation; Muscle Weakness; Retrospective Studies; Spinal Cord Compression; Spinal Cord Diseases; Treatment Outcome; Upper Extremity; Cervical myelopathy; Cervical spine surgery; False localizing sign; Neurologic examination; Presenting symptoms; Sensory level; Spinal cord",Comparative Study; Journal Article,10.1016/j.wneu.2019.08.231,132,,1878-8769 (Electronic); 1878-8750 (Linking),e162-e168,PubMed,
3696419,Contralateral neuralgia as a false localizing sign.,,1987,Neurosurgery,Neurosurgery,Ramamurthi B,"Ramamurthi, B",Ramamurthi B,,"Brain Neoplasms/*physiopathology; Brain Stem/physiopathology; Dominance, Cerebral/*physiology; Humans; Trigeminal Nerve/physiopathology; Trigeminal Neuralgia/*physiopathology",,"Brain Neoplasms; Brain Stem; Dominance, Cerebral; Humans; Trigeminal Nerve; Trigeminal Neuralgia",Letter,10.1097/00006123-198711000-00035,21,5,0148-396X (Print); 0148-396X (Linking),760,PubMed,
1744854,Bilateral internuclear ophthalmoplegia as a false localizing sign.,,1991,Journal of the Royal Society of Medicine,J R Soc Med,Bakheit AM; Behan PO; Melville ID,"Bakheit, A M; Behan, P O; Melville, I D",Bakheit AM,"Glasgow University Department of Neurology, General Hospital.",Adult; Humans; Male; Myasthenia Gravis/*complications/therapy; Ophthalmoplegia/*etiology/therapy; Plasma Exchange; Pyridostigmine Bromide/therapeutic use; Thymectomy,,Adult; Humans; Male; Myasthenia Gravis; Ophthalmoplegia; Plasma Exchange; Pyridostigmine Bromide; Thymectomy,Case Reports; Journal Article,10.1177/014107689108401024,84,10,0141-0768 (Print); 0141-0768 (Linking),627,PubMed,
12021944,Clinical features of the localized girdle sensation of mid-trunk (false localizing sign) appeared in cervical compressive myelopathy patients.,"Cervical compressive myelopathy patients sometimes show localized girdle sensation in the mid trunk (so-called false localizing sign). This symptom often confuses physicians, but the clinical features and mechanism of this symptom are still unclear. We investigated the clinical features and possible mechanism. In each of five cases of cervical compressive myelopathy disease with and without mid-truncal girdle sensation, the clinical features, degree and shape of cord compression were analysed. The girdle sensation was expressed as a vague or burning sensation, and was localized with a width of 3 or 4 dermatomes from the T3 to T11 level. There was no correlation between the appearance of the girdle sensation and etiology and level of cervical cord compression. Pyramidal tract signs and disturbance of superficial sensation were observed in all cases. Furthermore, on axial MRI, the midline ventral surface of the cervical cord was remarkably compressed in cases with girdle sensation, as if the compressive lesion entered the anterior medial fissure of the cervical cord. From these findings, this false localizing sign may be caused by severe compression of midline ventral structure of the cervical cord. Ischemia of the thoracic watershed zone of the anterior spinal artery from the compression of the anterior spinal artery at the cervical level might also be considered to be a possible cause.",2002,Journal of neurology,J Neurol,Ochiai H; Yamakawa Y; Minato S; Nakahara K; Nakano S; Wakisaka S,"Ochiai, Hidenobu; Yamakawa, Yuzo; Minato, Seiichiro; Nakahara, Keiichi; Nakano, Shinichi; Wakisaka, Shinichiro",Ochiai H,"Department of Neurosurgery, Miyazaki Medical College, 5200, Kihara, Kiyotake, Miyazaki 889-1692, Japan. hochiai@fc.miyazaki-med.ac.jp","Adult; Age Factors; Aged; Cervical Vertebrae/*pathology; Diagnosis, Differential; Female; Humans; Illusions/*physiology; Intervertebral Disc Displacement/complications/pathology/physiopathology; Magnetic Resonance Imaging; Male; Middle Aged; Neural Pathways/injuries/pathology/physiopathology; Ossification of Posterior Longitudinal Ligament/complications/pathology/physiopathology; Pain/*etiology/pathology/*physiopathology; Sex Factors; Somatosensory Disorders/pathology/*physiopathology; Spinal Canal/*pathology; Spinal Cord/blood supply/pathology/*physiopathology; Spinal Cord Compression/pathology/*physiopathology; Statistics as Topic",,"Adult; Age Factors; Aged; Cervical Vertebrae; Diagnosis, Differential; Female; Humans; Illusions; Intervertebral Disc Displacement; Magnetic Resonance Imaging; Male; Middle Aged; Neural Pathways; Ossification of Posterior Longitudinal Ligament; Pain; Sex Factors; Somatosensory Disorders; Spinal Canal; Spinal Cord; Spinal Cord Compression; Statistics as Topic",Journal Article,10.1007/s004150200063,249,5,0340-5354 (Print); 0340-5354 (Linking),549-53,PubMed,
30363753,Muscle Contraction as a False Localizing Sign During Intraoperative Macrostimulation of Subthalamic Nucleus.,,2015,Movement disorders clinical practice,Mov Disord Clin Pract,Pal GD; Sani S; Verhagen L,"Pal, Gian D; Sani, Sepehr; Verhagen, Leo",Pal GD,Department of Neurological Sciences Rush University Medical Center Chicago Illinois USA. | Department of Neurosurgery Rush University Medical Center Chicago Illinois USA. | Department of Neurological Sciences Rush University Medical Center Chicago Illinois USA.,,DBS; Parkinson disease; STN; macrostimulation,DBS; Parkinson disease; STN; macrostimulation,Case Reports; Journal Article,10.1002/mdc3.12137,2,1,2330-1619 (Electronic); 2330-1619 (Linking),64-65,PubMed,
8441953,Optic disc pallor: a false localizing sign.,"A 20-year-old pregnant woman was referred with bilateral mild visual acuity loss and optic disc pallor. Because of profound color vision deficits out of proportion to her acuity loss, an abnormality of the cone photoreceptors was suspected. An electroretinogram confirmed the diagnosis of a cone dystrophy and precluded further costly and invasive testing. Cone dystrophy should be considered in the differential diagnosis of any patient with bilateral, nonrefractive visual loss, especially if color vision is disproportionately affected, even with a normal retinal appearance and no significant family history.",1993,Survey of ophthalmology,Surv Ophthalmol,Newman NJ,"Newman, N J",Newman NJ,"Department of Ophthalmology, Emory University School of Medicine, Atlanta, Georgia.",Adult; Atrophy; Color Vision Defects/diagnosis; Electroretinography; Female; Fundus Oculi; Humans; Optic Disk/*pathology; Optic Nerve Diseases/diagnosis; Photoreceptor Cells/*pathology; Retinal Degeneration/*diagnosis; Visual Field Tests; Visual Fields,,Adult; Atrophy; Color Vision Defects; Electroretinography; Female; Fundus Oculi; Humans; Optic Disk; Optic Nerve Diseases; Photoreceptor Cells; Retinal Degeneration; Visual Field Tests; Visual Fields,"Case Reports; Clinical Conference; Journal Article; Research Support, Non-U.S. Gov't",10.1016/0039-6257(93)90010-5,37,4,0039-6257 (Print); 0039-6257 (Linking),273-82,PubMed,
35410158,Godtfredsen syndrome - recurrent clival chondrosarcoma with 6 years follow up: a case report and literature review.,"BACKGROUND: We report a rare case of Godtfredsen syndrome caused by clival chondrosarcoma and perform a review of literatures. This article also explains the clinico-anatomical correlation of this rare neurological syndrome. CASE PRESENTATION: A 22-year-old gentleman presented with binocular diplopia. Clinical examination revealed an isolated right abducent nerve and right hypoglossal nerve palsy, with other cranial nerves intact. Neuroimaging revealed a right clival mass. Supraorbital craniotomy and tumour debulking were done in the same year. Histopathological examination showed low-grade chondrosarcoma. After 5-years of default, he came back with the tumour enlarged. He underwent a right orbitozygomatic craniotomy and tumour excision with 33 cycles of radiotherapy. Despite two surgeries and radiotherapy, the abducent nerve and hypoglossal nerve did not improve throughout 6 years of follow-up. Cranial nerve VI palsy is not always a false localizing sign, in Godtfredsen syndrome it serves as a localizing sign. CONCLUSION: To the best of our knowledge, this is the first case report of Godtfredsen Syndrome secondary to clival chondrosarcoma. Cranial nerve VI and XII palsy with no involvement of other cranial nerves, most likely the pathology is located at the clivus.",2022,BMC neurology,BMC Neurol,Wai YZ; Chong YY; Dusa NM; Lai YP; Lim LT,"Wai, Yong Zheng; Chong, Yong Yuin; Dusa, Noraini Mohd; Lai, Yin Peng; Lim, Lik Thai",Wai YZ,"Ophthalmology Department, Kuala Lumpur Hospital, Kuala Lumpur, Malaysia. | Ophthalmology Department, Ampang Hospital, Ampang Jaya, Malaysia. | Pathology Department, Kuala Lumpur Hospital, Kuala Lumpur, Malaysia. | Ophthalmology Department, Kuala Lumpur Hospital, Kuala Lumpur, Malaysia. | Universiti Malaysia Sarawak (UNIMAS), Kota Samarahan, Sarawak, Malaysia. ltlim@unimas.my.","*Abducens Nerve Diseases/diagnosis/etiology/surgery; Adult; *Bone Neoplasms; *Chondrosarcoma/diagnosis/diagnostic imaging; Cranial Fossa, Posterior/diagnostic imaging/surgery; Humans; Male; Neoplasm Recurrence, Local; Syndrome; Young Adult",Clival chondrosarcoma; Clival syndrome; Godtfredsen syndrome,"Abducens Nerve Diseases; Adult; Bone Neoplasms; Chondrosarcoma; Cranial Fossa, Posterior; Humans; Male; Neoplasm Recurrence, Local; Syndrome; Young Adult; Clival chondrosarcoma; Clival syndrome; Godtfredsen syndrome",Case Reports; Journal Article; Review,10.1186/s12883-022-02654-w [pii],22,1,1471-2377 (Electronic); 1471-2377 (Linking),134,PubMed,
8620154,False localising signs in the spinal cord.,,1996,BMJ (Clinical research ed.),BMJ,Goddard P; Wakeley C; Cook A,"Goddard, P; Wakeley, C; Cook, A",Goddard P,,Humans; Magnetic Resonance Imaging; Sensitivity and Specificity; Spinal Cord Compression/*diagnosis,,Humans; Magnetic Resonance Imaging; Sensitivity and Specificity; Spinal Cord Compression,Comment; Letter,10.1136/bmj.312.7039.1160a,312,7039,0959-8138 (Print); 1468-5833 (Electronic); 0959-8138 (Linking),1160,PubMed,
