PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37181846","Spontaneous chronic subdural hematoma as the cause of oculomotor cranial nerve palsy: A narrative review","Pellegrini F, Interlandi E, Cuna A, Monaco D, Lee AG.","Brain Circ. 2022 Dec 6;8(4):188-191. doi: 10.4103/bc.bc_42_22. eCollection 2022 Oct-Dec.","Pellegrini F","Brain Circ","2022","2023/05/14","PMC10167844","","10.4103/bc.bc_42_22"
"756328","Parinaud's syndrome, false localising sign of pseudo-Dandy-Walker syndrome","Neetens A, Rubbens MC.","Bull Soc Belge Ophtalmol. 1978;182:131-8.","Neetens A","Bull Soc Belge Ophtalmol","1978","1978/01/01","","",""
"1402147","The false localizing signs of increased intracranial pressure","Davis M, Lucatorto M.","J Neurosci Nurs. 1992 Oct;24(5):245-50. doi: 10.1097/01376517-199210000-00003.","Davis M","J Neurosci Nurs","1992","1992/10/01","","","10.1097/01376517-199210000-00003"
"25979700","False localizing sign of cervico-thoracic CSF leak in spontaneous intracranial hypotension","Schievink WI, Maya MM, Chu RM, Moser FG.","Neurology. 2015 Jun 16;84(24):2445-8. doi: 10.1212/WNL.0000000000001697. Epub 2015 May 15.","Schievink WI","Neurology","2015","2015/05/17","","","10.1212/WNL.0000000000001697"
"37458360","Rubrospinal activation during asleep subthalamic nucleus deep brain stimulation: a false localizing sign. Illustrative case","Mitchell DL, Pearce J, King P, Sani S.","J Neurosurg Case Lessons. 2023 Jul 10;6(2):CASE23100. doi: 10.3171/CASE23100. Print 2023 Jul 10.","Mitchell DL","J Neurosurg Case Lessons","2023","2023/07/17","PMC10555643","","10.3171/CASE23100"
"2246664","Carotid dissection: a new false localising sign","Hess DC, Sethi KD, Nichols FT.","J Neurol Neurosurg Psychiatry. 1990 Sep;53(9):804-5. doi: 10.1136/jnnp.53.9.804.","Hess DC","J Neurol Neurosurg Psychiatry","1990","1990/09/01","PMC1014265","","10.1136/jnnp.53.9.804"
"27559458","Clinical Presentation of Cervical Myelopathy at C1-2 Level","Murahashi Y, Takebayashi T, Terashima Y, Tsuda H, Yoshimoto M, Yamashita T.","Asian Spine J. 2016 Aug;10(4):755-61. doi: 10.4184/asj.2016.10.4.755. Epub 2016 Aug 16.","Murahashi Y","Asian Spine J","2016","2016/08/26","PMC4995261","","10.4184/asj.2016.10.4.755"
"33223673","High-Pressure Normocephalus-Raised Intracranial Pressure with False Localizing Signs","Elavarasi A, Dash D, Singh PK, Tripathi M.","Ann Indian Acad Neurol. 2020 Jul-Aug;23(4):536-538. doi: 10.4103/aian.AIAN_431_18. Epub 2019 Mar 5.","Elavarasi A","Ann Indian Acad Neurol","2020","2020/11/23","PMC7657280","","10.4103/aian.AIAN_431_18"
"34877197","Idiopathic Intracranial Hypertension in a Malaysian Preschooler","Basiron SF', Tan EL, Ch'ng TW, Othman O.","Cureus. 2021 Nov 2;13(11):e19207. doi: 10.7759/cureus.19207. eCollection 2021 Nov.","Basiron SF'","Cureus","2021","2021/12/08","PMC8642153","","10.7759/cureus.19207"
"22575059","Thoracic sensory level as a false localizing sign in cervical spinal cord and brain lesions","Hellmann MA, Djaldetti R, Luckman J, Dabby R.","Clin Neurol Neurosurg. 2013 Jan;115(1):54-6. doi: 10.1016/j.clineuro.2012.04.011. Epub 2012 May 8.","Hellmann MA","Clin Neurol Neurosurg","2013","2012/05/12","","","10.1016/j.clineuro.2012.04.011"
"41804433","False Localizing Signs in High Lumbar Stenosis: L2/3 Compression Mimicking L5 Radiculopathy","De Santos M, Leach M.","Cureus. 2026 Feb 6;18(2):e103098. doi: 10.7759/cureus.103098. eCollection 2026 Feb.","De Santos M","Cureus","2026","2026/03/10","PMC12967792","","10.7759/cureus.103098"
"32821602","False Localizing Trigeminal V2 Sensory Loss in Vestibular Schwannoma","Feria AL, Akinduro OO, Rahmathulla G, Tavanaiepour D.","Cureus. 2020 Jul 18;12(7):e9256. doi: 10.7759/cureus.9256.","Feria AL","Cureus","2020","2020/08/22","PMC7431979","","10.7759/cureus.9256"
"32999238","Chest Pain and Hypertension from the Spinal Cord","Aiba Y, Sakakibara R, Tateno F.","Intern Med. 2021 Mar 1;60(5):817. doi: 10.2169/internalmedicine.5692-20. Epub 2020 Sep 30.","Aiba Y","Intern Med","2021","2020/10/01","PMC7990638","","10.2169/internalmedicine.5692-20"
"26528671","The History of the Kernohan Notch Revisited","Dammers R, Volovici V, Kompanje EJ.","Neurosurgery. 2016 Apr;78(4):581-4. doi: 10.1227/NEU.0000000000001097.","Dammers R","Neurosurgery","2016","2015/11/04","","","10.1227/NEU.0000000000001097"
"30294700","Bilateral pseudo-internuclear ophthalmoplegia in a patient with myasthenia gravis","McClard CK, Lyons LJ, Yalamanchili S.","Am J Ophthalmol Case Rep. 2018 Sep 19;12:76-78. doi: 10.1016/j.ajoc.2018.09.008. eCollection 2018 Dec.","McClard CK","Am J Ophthalmol Case Rep","2018","2018/10/09","PMC6171485","","10.1016/j.ajoc.2018.09.008"
"15070118","False localizing sign of C1-2 cerebrospinal fluid leak in spontaneous intracranial hypotension","Schievink WI, Maya MM, Tourje J.","J Neurosurg. 2004 Apr;100(4):639-44. doi: 10.3171/jns.2004.100.4.0639.","Schievink WI","J Neurosurg","2004","2004/04/09","","","10.3171/jns.2004.100.4.0639"
"21045487","Idiopathic intracranial hypertension: are false localising signs other than abducens nerve palsy acceptable?","Menon RN, Radhakrishnan K.","Neurol India. 2010 Sep-Oct;58(5):683-4. doi: 10.4103/0028-3886.72160.","Menon RN","Neurol India","2010","2010/11/04","","","10.4103/0028-3886.72160"
"39297644","Reappraisal of the Previously Described False Localizing Sign at C1-2 in Cases of Spontaneous Intracranial Hypotension","Fote G, Shahin H, Brown NJ, Falcone J, Lopez A, Kuan EC, Hsu FPK, Oh MY, Mohyeldin A.","Oper Neurosurg. 2025 Apr 1;28(4):468-477. doi: 10.1227/ons.0000000000001341. Epub 2024 Sep 19.","Fote G","Oper Neurosurg","2025","2024/09/19","","","10.1227/ons.0000000000001341"
"39911998","Kernohan-Woltman Notch Phenomenon: A Case of Paradoxical Hemiparesis","Negrão C, Silva MC, Machado M, Mourato M, Chumbo C, Tomás AR, Coutinho C, Monteiro AC, Matos C.","Cureus. 2025 Jan 6;17(1):e76987. doi: 10.7759/cureus.76987. eCollection 2025 Jan.","Negrão C","Cureus","2025","2025/02/06","PMC11795214","","10.7759/cureus.76987"
"7247159","Trochlear nerve palsy as a false localizing sign","Halpern JI, Gordon WH Jr.","Ann Ophthalmol. 1981 Jan;13(1):53-6.","Halpern JI","Ann Ophthalmol","1981","1981/01/01","","",""
"18141993","False localizing signs in cerebral tumours","TATLOW WF.","Postgrad Med J. 1949 Sep;25(287):445-8. doi: 10.1136/pgmj.25.287.445.","TATLOW WF","Postgrad Med J","1949","1949/09/01","PMC2530011","","10.1136/pgmj.25.287.445"
"15201388","Extensive radiculopathy: another false localising sign in intracranial hypertension","Moosa A, Joy MA, Kumar A.","J Neurol Neurosurg Psychiatry. 2004 Jul;75(7):1080-1.","Moosa A","J Neurol Neurosurg Psychiatry","2004","2004/06/18","PMC1739128","",""
"25883838","Pupil sparing oculomotor nerve paresis after anterior communicating artery aneurysm rupture: False localizing sign or acute microvascular ischemia?","Srinivasan A, Dhandapani S, Kumar A.","Surg Neurol Int. 2015 Mar 24;6:46. doi: 10.4103/2152-7806.153877. eCollection 2015.","Srinivasan A","Surg Neurol Int","2015","2015/04/18","PMC4392532","","10.4103/2152-7806.153877"
"12080871","Kernohan's notch phenomenon: a case study","Schedler P, Geary S.","J Neurosci Nurs. 2002 Jun;34(3):158-9. doi: 10.1097/01376517-200206000-00008.","Schedler P","J Neurosci Nurs","2002","2002/06/26","","","10.1097/01376517-200206000-00008"
"11792482","Papilledema as a 'false' localizing sign","Mariniello G, Bonavolontà G, de Divitiis E.","Clin Neurol Neurosurg. 2002 Jan;104(1):69-71. doi: 10.1016/s0303-8467(01)00185-8.","Mariniello G","Clin Neurol Neurosurg","2002","2002/01/17","","","10.1016/s0303-8467(01)00185-8"
"1619427","Seventh nerve palsy as a false localising sign","Davie C, Kennedy P, Katifi HA.","J Neurol Neurosurg Psychiatry. 1992 Jun;55(6):510-1. doi: 10.1136/jnnp.55.6.510.","Davie C","J Neurol Neurosurg Psychiatry","1992","1992/06/01","PMC1014916","","10.1136/jnnp.55.6.510"
"30200137","False localizing sign caused by schwannoma in cervical spinal canal at C1-2 level: A case report","Park JM, Kim JH.","Medicine (Baltimore). 2018 Sep;97(36):e12215. doi: 10.1097/MD.0000000000012215.","Park JM","Medicine (Baltimore)","2018","2018/09/12","PMC6133423","","10.1097/MD.0000000000012215"
"11447537","Naloxone: a potential false localizing sign","Song EK.","Am J Emerg Med. 2001 Jul;19(4):331-2. doi: 10.1053/ajem.2001.24469.","Song EK","Am J Emerg Med","2001","2001/07/12","","","10.1053/ajem.2001.24469"
"41881482","Abducens nerve palsy as a false localising sign in spontaneous intracranial hypotension","Rama Raj P, Pho H, Kopanidis P, Kok HK.","BMJ Case Rep. 2026 Mar 25;19(3):e269404. doi: 10.1136/bcr-2025-269404.","Rama Raj P","BMJ Case Rep","2026","2026/03/25","","","10.1136/bcr-2025-269404"
"37350249","Cervical cord compression with lower limb sensory disturbance: three case reports and a literature review","Gao K, Cao Y, Wu Y, Yu W, Liu W, Sun S.","J Int Med Res. 2023 Jun;51(6):3000605231178414. doi: 10.1177/03000605231178414.","Gao K","J Int Med Res","2023","2023/06/23","PMC10291409","","10.1177/03000605231178414"
"19557561","False localizing signs in traumatic brain injury","McKenna C, Fellus J, Barrett AM.","Brain Inj. 2009 Jul;23(7):597-601. doi: 10.1080/02699050902973921.","McKenna C","Brain Inj","2009","2009/06/27","PMC2938049","NIHMS229395","10.1080/02699050902973921"
"31513953","Cervical Myelopathy without Symptoms in the Upper Extremities: Incidence and Presenting Characteristics","Houten JK, Pasternack J, Norton RP.","World Neurosurg. 2019 Dec;132:e162-e168. doi: 10.1016/j.wneu.2019.08.231. Epub 2019 Sep 9.","Houten JK","World Neurosurg","2019","2019/09/13","","","10.1016/j.wneu.2019.08.231"
"3696419","Contralateral neuralgia as a false localizing sign","Ramamurthi B.","Neurosurgery. 1987 Nov;21(5):760. doi: 10.1097/00006123-198711000-00035.","Ramamurthi B","Neurosurgery","1987","1987/11/01","","","10.1097/00006123-198711000-00035"
"1744854","Bilateral internuclear ophthalmoplegia as a false localizing sign","Bakheit AM, Behan PO, Melville ID.","J R Soc Med. 1991 Oct;84(10):627. doi: 10.1177/014107689108401024.","Bakheit AM","J R Soc Med","1991","1991/10/01","PMC1295569","","10.1177/014107689108401024"
"12021944","Clinical features of the localized girdle sensation of mid-trunk (false localizing sign) appeared in cervical compressive myelopathy patients","Ochiai H, Yamakawa Y, Minato S, Nakahara K, Nakano S, Wakisaka S.","J Neurol. 2002 May;249(5):549-53. doi: 10.1007/s004150200063.","Ochiai H","J Neurol","2002","2002/05/22","","","10.1007/s004150200063"
"30363753","Muscle Contraction as a False Localizing Sign During Intraoperative Macrostimulation of Subthalamic Nucleus","Pal GD, Sani S, Verhagen L.","Mov Disord Clin Pract. 2015 Feb 24;2(1):64-65. doi: 10.1002/mdc3.12137. eCollection 2015 Mar.","Pal GD","Mov Disord Clin Pract","2015","2018/10/27","PMC6183175","","10.1002/mdc3.12137"
"8441953","Optic disc pallor: a false localizing sign","Newman NJ.","Surv Ophthalmol. 1993 Jan-Feb;37(4):273-82. doi: 10.1016/0039-6257(93)90010-5.","Newman NJ","Surv Ophthalmol","1993","1993/01/01","","","10.1016/0039-6257(93)90010-5"
"35410158","Godtfredsen syndrome - recurrent clival chondrosarcoma with 6 years follow up: a case report and literature review","Wai YZ, Chong YY, Dusa NM, Lai YP, Lim LT.","BMC Neurol. 2022 Apr 11;22(1):134. doi: 10.1186/s12883-022-02654-w.","Wai YZ","BMC Neurol","2022","2022/04/12","PMC8996403","","10.1186/s12883-022-02654-w"
"8620154","False localising signs in the spinal cord","Goddard P, Wakeley C, Cook A.","BMJ. 1996 May 4;312(7039):1160. doi: 10.1136/bmj.312.7039.1160a.","Goddard P","BMJ","1996","1996/05/04","PMC2350657","","10.1136/bmj.312.7039.1160a"
"17408851","Paradoxical fixed dilatation of the contralateral pupil as a false-localizing sign in intraparenchymal frontal hemorrhage","Chung KH, Chandran KN.","Clin Neurol Neurosurg. 2007 Jun;109(5):455-7. doi: 10.1016/j.clineuro.2007.02.002. Epub 2007 Apr 3.","Chung KH","Clin Neurol Neurosurg","2007","2007/04/06","","","10.1016/j.clineuro.2007.02.002"
"8563595","False localising signs in the spinal cord","Jamieson DR, Teasdale E, Willison HJ.","BMJ. 1996 Jan 27;312(7025):243-4. doi: 10.1136/bmj.312.7025.243.","Jamieson DR","BMJ","1996","1996/01/27","PMC2350037","","10.1136/bmj.312.7025.243"
"21716868","Marcus Gunn phenomenon with abducens palsy: As pseudo-false localizing signs","Baldia M, Premlal K, Menon B, Samson SK.","J Neurosci Rural Pract. 2011 Jan;2(1):101-2. doi: 10.4103/0976-3147.80086.","Baldia M","J Neurosci Rural Pract","2011","2011/07/01","PMC3122987","","10.4103/0976-3147.80086"
"26000183","Ruptured Arteriovenous Malformation Presenting with Kernohan's Notch","Dibble CF, Wemhoff MP, Ibrahim T, Sasaki-Adams D, Solander S, Germanwala AV.","Case Rep Neurol Med. 2015;2015:921930. doi: 10.1155/2015/921930. Epub 2015 Apr 27.","Dibble CF","Case Rep Neurol Med","2015","2015/05/23","PMC4426657","","10.1155/2015/921930"
"34521743","Wall eyed bilateral internuclear ophthalmoplegia (WEBINO) syndrome as a false localising sign in intracranial haemorrhage due to snake bite","Sinha S, Naik BB, Ghanekar J.","BMJ Case Rep. 2021 Sep 14;14(9):e244830. doi: 10.1136/bcr-2021-244830.","Sinha S","BMJ Case Rep","2021","2021/09/15","PMC8442054","","10.1136/bcr-2021-244830"
"8089685","Initial enlargement of the opposite pupil as a false localising sign in intraparenchymal frontal haemorrhage","Chen R, Sahjpaul R, Del Maestro RF, Assis L, Young GB.","J Neurol Neurosurg Psychiatry. 1994 Sep;57(9):1126-8. doi: 10.1136/jnnp.57.9.1126.","Chen R","J Neurol Neurosurg Psychiatry","1994","1994/09/01","PMC1073143","","10.1136/jnnp.57.9.1126"
"40480035","Cerebellopontine angle epidermoids presenting with contralateral symptomatology: A distinct perspective on false localising signs","Datta A, Kumar A, Srivastava AK, Bhaisora KS, Das KK, Mehrotra A, Maurya VP, Verma PK, Jaiswal AK.","J Clin Neurosci. 2025 Aug;138:111353. doi: 10.1016/j.jocn.2025.111353. Epub 2025 Jun 5.","Datta A","J Clin Neurosci","2025","2025/06/06","","","10.1016/j.jocn.2025.111353"
"3808248","Contralateral trigeminal neuralgia as a false localizing sign in intracranial tumors","Florensa R, Llovet J, Pou A, Galitó E, Vilato J, Colet S.","Neurosurgery. 1987 Jan;20(1):1-3. doi: 10.1227/00006123-198701000-00001.","Florensa R","Neurosurgery","1987","1987/01/01","","","10.1227/00006123-198701000-00001"
"11846921","Unilateral fixed dilation of the pupil as a false-localizing sign with intracranial hemorrhage: case report and literature review","Marshman LA, Polkey CE, Penney CC.","Neurosurgery. 2001 Nov;49(5):1251-5; discussion 1255-6. doi: 10.1097/00006123-200111000-00045.","Marshman LA","Neurosurgery","2001","2002/02/16","","","10.1097/00006123-200111000-00045"
"42253616","Electroacupuncture for girdle sensation following spinal cord injury as a false localizing sign: a case series","Gao Y, Su X, Yang Y, Liu Q, Jing S, Liu M.","Front Pain Res (Lausanne). 2026 May 22;7:1794414. doi: 10.3389/fpain.2026.1794414. eCollection 2026.","Gao Y","Front Pain Res (Lausanne)","2026","2026/06/08","PMC13236685","","10.3389/fpain.2026.1794414"
"20829324","Seventh nerve palsy as a false localizing sign in benign intracranial hypertension","Kearsey C, Fernando P, Benamer HT, Buch H.","J R Soc Med. 2010 Oct;103(10):412-4. doi: 10.1258/jrsm.2010.100049. Epub 2010 Sep 9.","Kearsey C","J R Soc Med","2010","2010/09/11","PMC2951170","","10.1258/jrsm.2010.100049"
"27795862","Malignant Hypertensive Retinopathy in an Infant with Mid-Aortic Occlusion","Oh LJ, Bhardwaj G, Winlaw DS, Donaldson CE.","Case Rep Ophthalmol Med. 2016;2016:8162687. doi: 10.1155/2016/8162687. Epub 2016 Oct 5.","Oh LJ","Case Rep Ophthalmol Med","2016","2016/11/01","PMC5071550","","10.1155/2016/8162687"
"31473680","Ipsilateral hemiparesis: the forgotten history of this paradoxical neurological sign","Carrasco-Moro R, Castro-Dufourny I, Martínez-San Millán JS, Cabañes-Martínez L, Pascual JM.","Neurosurg Focus. 2019 Sep 1;47(3):E7. doi: 10.3171/2019.6.FOCUS19337.","Carrasco-Moro R","Neurosurg Focus","2019","2019/09/02","","","10.3171/2019.6.FOCUS19337"
"31277063","False localizing signs of spinal CSF-venous fistulas in spontaneous intracranial hypotension: report of 2 cases","Schievink WI, Maya MM, Moser FG.","J Neurosurg Spine. 2019 Jul 5;31(5):764-767. doi: 10.3171/2019.4.SPINE19283. Print 2019 Nov 1.","Schievink WI","J Neurosurg Spine","2019","2019/07/06","","","10.3171/2019.4.SPINE19283"
"7738578","Hearing loss as a false localising sign in raised intracranial pressure","Dorman PJ, Campbell MJ, Maw AR.","J Neurol Neurosurg Psychiatry. 1995 Apr;58(4):516. doi: 10.1136/jnnp.58.4.516.","Dorman PJ","J Neurol Neurosurg Psychiatry","1995","1995/04/01","PMC1073458","","10.1136/jnnp.58.4.516"
"10199298","Intraventricular hemorrhage as a false localizing sign of a thoracolumbar arteriovenous malformation: case report","Barzó P, Vörös E, Bodosi M.","Surg Neurol. 1999 Apr;51(4):430-4. doi: 10.1016/s0090-3019(98)00044-5.","Barzó P","Surg Neurol","1999","1999/04/13","","","10.1016/s0090-3019(98)00044-5"
"39183047","[A case of numb chin syndrome caused by postcentral gyrus infarction]","Sawada N, Ueda M, Umemura T, Kamijo M, Kameyama T.","Rinsho Shinkeigaku. 2024 Sep 26;64(9):668-670. doi: 10.5692/clinicalneurol.cn-001984. Epub 2024 Aug 24.","Sawada N","Rinsho Shinkeigaku","2024","2024/08/25","","","10.5692/clinicalneurol.cn-001984"
"14315299","THE FOCAL MOTOR SEIZURES AS A FALSE LOCALIZING SIGN","BEATTY RA.","Neurology. 1965 Aug;15:752-5. doi: 10.1212/wnl.15.8.752.","BEATTY RA","Neurology","1965","1965/08/01","","","10.1212/wnl.15.8.752"
"7264699","Downbeat nystagmus--a false localising sign due to communicating hydrocephalus","Phadke JG, Hern JE, Blaiklock CT.","J Neurol Neurosurg Psychiatry. 1981 May;44(5):459. doi: 10.1136/jnnp.44.5.459.","Phadke JG","J Neurol Neurosurg Psychiatry","1981","1981/05/01","PMC490998","","10.1136/jnnp.44.5.459"
"13266850","Certain false localizing signs of intracranial tumor: report of case","DODGE HW Jr, CLARK EC, WAGENER HP, HUSTEAD AP.","Proc Staff Meet Mayo Clin. 1955 Oct 5;30(20):453-61.","DODGE HW Jr","Proc Staff Meet Mayo Clin","1955","1955/10/05","","",""
"3979415","Facial myokymia--a false localizing sign in obstructive communicating hydrocephalus. A case report","Sandyk R.","Eur Neurol. 1985;24(2):112-4. doi: 10.1159/000115770.","Sandyk R","Eur Neurol","1985","1985/01/01","","","10.1159/000115770"
"33642294","Polyradiculopathy and Multiple Cranial Nerve Palsies - Rare Manifestations of Cerebral Venous Sinus Thrombosis","Raman SP, Velayutham SS, Jeyaraj KM, Kumar MS, Mugundhan K.","Neurol India. 2021 Jan-Feb;69(1):170-173. doi: 10.4103/0028-3886.310084.","Raman SP","Neurol India","2021","2021/03/01","","","10.4103/0028-3886.310084"
"32554417","Spine MRI in Spontaneous Intracranial Hypotension for CSF Leak Detection: Nonsuperiority of Intrathecal Gadolinium to Heavily T2-Weighted Fat-Saturated Sequences","Dobrocky T, Winklehner A, Breiding PS, Grunder L, Peschi G, Häni L, Mosimann PJ, Branca M, Kaesmacher J, Mordasini P, Raabe A, Ulrich CT, Beck J, Gralla J, Piechowiak EI.","AJNR Am J Neuroradiol. 2020 Jul;41(7):1309-1315. doi: 10.3174/ajnr.A6592. Epub 2020 Jun 18.","Dobrocky T","AJNR Am J Neuroradiol","2020","2020/06/20","PMC7357665","","10.3174/ajnr.A6592"
"205315","Trigeminal false localizing signs and their causation","O'Connell JE.","Brain. 1978 Mar;101(1):119-42. doi: 10.1093/brain/101.1.119.","O'Connell JE","Brain","1978","1978/03/01","","","10.1093/brain/101.1.119"
"24348572","Kernohan's Notch: A Forgotten Cause of Hemiplegia-CT Scans Are Useful in This Diagnosis","Panikkath R, Panikkath D, Lim SY, Nugent K.","Case Rep Med. 2013;2013:296874. doi: 10.1155/2013/296874. Epub 2013 Nov 20.","Panikkath R","Case Rep Med","2013","2013/12/19","PMC3853108","","10.1155/2013/296874"
"28883251","Ossification of the Posterior Atlantoaxial Membrane: An Atypical Presentation","Ueno T, Nishijima H, Ito J, Tomiyama M.","Intern Med. 2017 Oct 1;56(19):2689-2690. doi: 10.2169/internalmedicine.8827-17. Epub 2017 Sep 6.","Ueno T","Intern Med","2017","2017/09/09","PMC5658545","","10.2169/internalmedicine.8827-17"
"6709162","Contralateral trigeminal nerve dysfunction as a false localizing sign in acoustic neuroma: a clinical and electrophysiological study","Koenig M, Kalyan-Raman K, Sureka ON.","Neurosurgery. 1984 Mar;14(3):335-7. doi: 10.1227/00006123-198403000-00014.","Koenig M","Neurosurgery","1984","1984/03/01","","","10.1227/00006123-198403000-00014"
"21874138","Lower cranial nerve palsy, aseptic meningitis and hydrocephalus: unusual presentation of primary antiphospholipid syndrome","Wani AM, Hussain WM, Fatani MI, Qadmani A, Maimani GA, Turkistani A, Dairi KS, Abumatar A, Bafaraj MG.","BMJ Case Rep. 2009;2009:bcr06.2009.2013. doi: 10.1136/bcr.06.2009.2013. Epub 2009 Aug 28.","Wani AM","BMJ Case Rep","2009","2011/08/30","PMC3029531","","10.1136/bcr.06.2009.2013"
