Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","62","GC01M019397","95.8931732177734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","64","GC09M021967","93.1463317871094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","62","GC05P112707","92.5007247924805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","90.0111236572266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","60","GC03P022792","89.2952575683594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"MEN1","Menin 1","Protein Coding","O00255","58","GC11M064803","84.7895812988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"CDH1","Cadherin 1","Protein Coding","P12830","62","GC16P068737","83.8406372070313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","82.8927993774414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","81.4586944580078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"THRA","Thyroid Hormone Receptor Alpha","Protein Coding","P10827","61","GC17P040058","80.7319717407227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRA"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","79.9443664550781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","Q99643","55","GC01P161314","77.6326446533203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"SLC5A5","Solute Carrier Family 5 Member 5","Protein Coding","Q92911","59","GC19P122615","76.4092025756836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A5"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","Q12824","59","GC22P023786","75.8371734619141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","75.4442977905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"MLH1","MutL Homolog 1","Protein Coding","P40692","62","GC03P036993","75.0445709228516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"MSH2","MutS Homolog 2","Protein Coding","P43246","60","GC02P047403","74.5669250488281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","67","GC12P068808","74.2861862182617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","74.1564178466797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"DUOX2","Dual Oxidase 2","Protein Coding","Q9NRD8","56","GC15M045092","74.1401596069336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOX2"
"FOXE1","Forkhead Box E1","Protein Coding","O00358","52","GC09P097853","72.3930358886719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXE1"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","O14521","57","GC11P112613","71.7916870117188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"TSHB","Thyroid Stimulating Hormone Subunit Beta","Protein Coding","P01222","54","GC01P115029","71.3239059448242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB"
"MSH6","MutS Homolog 6","Protein Coding","P52701","62","GC02P047695","70.495849609375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","P04629","62","GC01P156815","69.8185043334961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","62","GC12P043095","69.7372589111328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","62","GC07M005973","68.0850067138672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","68.0413055419922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","P10644","64","GC17P123720","66.8271636962891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","43","GC11M108308","65.5277404785156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","33","GC11P094626","64.7281341552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","63","GC19P001177","63.7185745239258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","63.5998039245605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"GPC3","Glypican 3","Protein Coding","P51654","59","GC0XM133535","63.2506942749023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC3"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","61","GC02P204076","62.9836463928223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"PVT1","Pvt1 Oncogene","RNA Gene","","35","GC08P128175","62.6867904663086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","62","GC13P048303","62.4197196960449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","60.8523330688477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","32","GC12M053962","60.2704696655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"MEG3","Maternally Expressed 3","RNA Gene","","37","GC14P117888","59.4432678222656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"SFTA3","Surfactant Associated 3","RNA Gene","P0C7M3","44","GC14M036479","58.4729614257813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTA3"
"CCND1","Cyclin D1","Protein Coding","P24385","66","GC11P069641","58.1578102111816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"CDC73","Cell Division Cycle 73","Protein Coding","Q6P1J9","58","GC01P193121","57.8326683044434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","Q8IYG6","48","GC11P012231","57.825382232666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","64","GC02M029190","57.7504539489746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","57.7233276367188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"PTCH1","Patched 1","Protein Coding","Q13635","64","GC09M095442","56.7077217102051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","67","GC06P151656","56.5774612426758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"NF2","NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor","Protein Coding","P35240","62","GC22P029603","55.8847808837891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","66","GC18P051028","55.215145111084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P112626","55.1406936645508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","66","GC08P127735","55.0861320495605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"MIR146B","MicroRNA 146b","RNA Gene","","31","GC10P102436","55.0119018554688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"SLC26A4","Solute Carrier Family 26 Member 4","Protein Coding","O43511","56","GC07P107660","54.8750915527344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A4"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","34","GC11P094620","54.7557373046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","54.6089820861816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","63","GC06P144910","54.5143356323242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P123488","54.3201370239258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"GAS5","Growth Arrest Specific 5","RNA Gene","","33","GC01M173947","53.8968315124512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","67","GC17M042313","53.8601417541504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"POT1","Protection Of Telomeres 1","Protein Coding","Q9NUX5","55","GC07M124822","53.7231254577637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POT1"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","52.5566253662109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","60","GC05P000232","52.2815971374512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"MIR221","MicroRNA 221","RNA Gene","","29","GC0XM045746","52.2178726196289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","50.6019134521484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","61","GC02P047345","50.5966949462891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","50.4220504760742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","33","GC09P021994","50.2499237060547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","50.0144958496094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P095809","49.873893737793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","68","GC04P004728","49.8211479187012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","49.7387924194336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"CD274","CD274 Molecule","Protein Coding","Q9NZQ7","58","GC09P005450","49.5747718811035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","66","GC19M041301","49.3299713134766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","P42772","58","GC09M022002","49.1640396118164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","63","GC12M006328","48.6949653625488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","66","GC03P012287","48.6110076904297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","48.5210380554199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","48.4650421142578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","62","GC14P061695","48.3969535827637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","48.1949424743652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"MIR222","MicroRNA 222","RNA Gene","","29","GC0XM045747","48.165771484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"PTCSC3","Papillary Thyroid Carcinoma Susceptibility Candidate 3","RNA Gene","","24","GC14M036482","48.0403480529785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC3"
"MIR155","MicroRNA 155","RNA Gene","","31","GC21P025573","47.9615936279297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","47.8764572143555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","47.6893882751465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"AR","Androgen Receptor","Protein Coding","P10275","64","GC0XP067544","46.2768859863281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","67","GC12M059651","46.1794090270996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","64","GC20P037344","45.1852264404297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","45.0250091552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"TNFSF10","TNF Superfamily Member 10","Protein Coding","P50591","57","GC03M172505","45.0110015869141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF10"
"IYD","Iodotyrosine Deiodinase","Protein Coding","Q6PHW0","54","GC06P150368","44.8823890686035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IYD"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","43.9421768188477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","65","GC03P030623","43.9369812011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","58","GC01M045329","43.8844375610352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"DUOXA2","Dual Oxidase Maturation Factor 2","Protein Coding","Q1HG44","47","GC15P045114","43.807975769043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOXA2"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","P42224","66","GC02M190908","43.4200210571289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","43.0472450256348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","","31","GC07P027198","42.9234237670898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","29","GC06P008486","42.7603530883789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","42.581428527832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"NTRK3","Neurotrophic Receptor Tyrosine Kinase 3","Protein Coding","Q16288","66","GC15M087859","42.5527038574219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","42.4660530090332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"EWSR1","EWS RNA Binding Protein 1","Protein Coding","Q01844","58","GC22P075749","42.2216873168945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EWSR1"
"MIR15A","MicroRNA 15a","RNA Gene","","25","GC13M050049","42.1953430175781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"NBN","Nibrin","Protein Coding","O60934","62","GC08M089933","41.7956886291504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","35","GC10P118053","41.7912101745605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"TP63","Tumor Protein P63","Protein Coding","Q9H3D4","59","GC03P189598","41.7490844726563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","P01344","62","GC11M012582","41.6270599365234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"FLCN","Folliculin","Protein Coding","Q8NFG4","55","GC17M017212","41.4460220336914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","41.2216110229492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","66","GC22M021759","41.0570068359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","40.9986038208008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"PAX8-AS1","PAX8 Antisense RNA 1","RNA Gene","","26","GC02P146141","40.701488494873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8-AS1"
"HABP2","Hyaluronan Binding Protein 2","Protein Coding","Q14520","57","GC10P113550","40.5326118469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP2"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P04049","67","GC03M012583","40.5108222961426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","26","GC18M057054","40.4425582885742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","32","GC19P131723","40.4214172363281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","66","GC02M208236","39.8952255249023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","56","GC04P073740","39.6781425476074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"PTCSC2","Papillary Thyroid Carcinoma Susceptibility Candidate 2","RNA Gene","","22","GC09M097699","39.623363494873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC2"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","Q06124","67","GC12P112418","39.2544174194336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"SLC16A2","Solute Carrier Family 16 Member 2","Protein Coding","P36021","56","GC0XP074910","39.062931060791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A2"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","67","GC12P061993","38.7353935241699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"ARID1A","AT-Rich Interaction Domain 1A","Protein Coding","O14497","58","GC01P026693","38.5813102722168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1A"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","P15941","61","GC01M155185","38.2893905639648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"ESR2","Estrogen Receptor 2","Protein Coding","Q92731","61","GC14M064084","38.2856025695801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","P36894","64","GC10P112550","38.1927528381348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"IL2","Interleukin 2","Protein Coding","P60568","59","GC04M122451","38.1803245544434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","P06881","56","GC11M014966","38.1407356262207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","66","GC02M136114","38.0098152160645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","P20333","61","GC01P051309","38.0008201599121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","60","GC12M132789","37.9997406005859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
