gene_symbol,category,article_associations,suggestion
PB,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
POLYMORPHISMS,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
RESPONSE,普通英文单词误识别,6,此为普通英文单词，非基因符号，应从基因表中删除
SA,非基因缩写/无意义字符,5,此为无意义字符或非基因缩写，应从基因表中删除
SC,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
TRANSCRIPTOMICS,研究方法/类型术语,4,此为研究方法术语，非基因符号，应从基因表中删除
VA,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
VAS,量表/评估工具缩写,5,此为临床评估工具缩写，非基因符号，应从基因表中删除
VBM,量表/评估工具缩写,1,此为临床评估工具缩写，非基因符号，应从基因表中删除
WL,非基因缩写/无意义字符,2,此为无意义字符或非基因缩写，应从基因表中删除
WOMAC,量表/评估工具缩写,2,此为临床评估工具缩写，非基因符号，应从基因表中删除
GWAS,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
INTEGRATING,普通英文单词误识别,4,此为普通英文单词，非基因符号，应从基因表中删除
MENDELIAN,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
QTL,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
RANDOMIZATION,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
SMR,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
T2DM,疾病/临床术语,7,此为疾病/临床术语，非基因符号，应从基因表中删除
FD4,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
LA,非基因缩写/无意义字符,2,此为无意义字符或非基因缩写，应从基因表中删除
MC,非基因缩写/无意义字符,5,此为无意义字符或非基因缩写，应从基因表中删除
MCS,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
PEARSON,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
ABDOMINAL,疾病/临床术语,1,此为疾病/临床术语，非基因符号，应从基因表中删除
ADL,量表/评估工具缩写,1,此为临床评估工具缩写，非基因符号，应从基因表中删除
BECLIN1,非官方基因符号,3,建议映射至官方符号: BECN1
HAMD,量表/评估工具缩写,2,此为临床评估工具缩写，非基因符号，应从基因表中删除
HEALTH,疾病/临床术语,3,此为疾病/临床术语，非基因符号，应从基因表中删除
INTERVENTION,普通英文单词误识别,1,此为普通英文单词，非基因符号，应从基因表中删除
LC3,非官方基因符号,10,建议映射至官方符号: MAP1LC3A/B/C
NIHSS,量表/评估工具缩写,1,此为临床评估工具缩写，非基因符号，应从基因表中删除
PITTSBURGH,量表/评估工具缩写,2,此为临床评估工具缩写，非基因符号，应从基因表中删除
SP,非基因缩写/无意义字符,4,此为无意义字符或非基因缩写，应从基因表中删除
STROKE,疾病/临床术语,7,此为疾病/临床术语，非基因符号，应从基因表中删除
TRIAL,研究方法/类型术语,6,此为研究方法术语，非基因符号，应从基因表中删除
WEB,技术术语/工具名,7,此为技术/工具名称，非基因符号，应从基因表中删除
AKT,基因家族/通路名称，非单一基因,30,"建议拆分为具体基因亚型: AKT1, AKT2, AKT3，或在统计中单独标注为""基因家族/通路"""
PI3K,基因家族/通路名称，非单一基因,27,"建议拆分为具体基因亚型: PIK3CA, PIK3CB, PIK3CD, PIK3CG，或在统计中单独标注为""基因家族/通路"""
NOD,疾病/临床术语,7,此为疾病/临床术语，非基因符号，应从基因表中删除
ECM,技术术语/工具名,7,此为技术/工具名称，非基因符号，应从基因表中删除
BCL,基因家族/通路名称，非单一基因,8,"建议拆分为具体基因亚型: BCL2, BCL2L1, BCL2L11, BCL6，或在统计中单独标注为""基因家族/通路"""
MMP,基因家族/通路名称，非单一基因,8,"建议拆分为具体基因亚型: MMP1, MMP2, MMP3, MMP9, MMP13，或在统计中单独标注为""基因家族/通路"""
ERK,基因家族/通路名称，非单一基因,8,"建议拆分为具体基因亚型: MAPK1, MAPK3，或在统计中单独标注为""基因家族/通路"""
POSTOPERATIVE,疾病/临床术语,7,此为疾病/临床术语，非基因符号，应从基因表中删除
HOMA,量表/评估工具缩写,6,此为临床评估工具缩写，非基因符号，应从基因表中删除
SPINAL,疾病/临床术语,6,此为疾病/临床术语，非基因符号，应从基因表中删除
WNT,基因家族/通路名称，非单一基因,9,"建议拆分为具体基因亚型: WNT1, WNT3A, WNT5A, WNT7A, WNT10B，或在统计中单独标注为""基因家族/通路"""
METABOLOMIC,技术术语/工具名,7,此为技术/工具名称，非基因符号，应从基因表中删除
IVF,研究方法/类型术语,6,此为研究方法术语，非基因符号，应从基因表中删除
PROFILING,研究方法/类型术语,6,此为研究方法术语，非基因符号，应从基因表中删除
JAK,基因家族/通路名称，非单一基因,8,"建议拆分为具体基因亚型: JAK1, JAK2, JAK3, TYK2，或在统计中单独标注为""基因家族/通路"""
STAT,基因家族/通路名称，非单一基因,6,"建议拆分为具体基因亚型: STAT1, STAT3, STAT5A, STAT6，或在统计中单独标注为""基因家族/通路"""
BECLIN,非官方基因符号,7,建议映射至官方符号: BECN1
